,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Human GBM / peri-tumor astrocytes,-3710.1702,-1177.7555,547.8487,-1492.9509,-640.8989,-214.9928,345.3254,60.69171,326.9524,-1067.1522,-225.38376,184.42747,-54.69514,-20.35341,6.101407,262.46347,225.22249,63.68693,-446.4548,417.02115,-90.967026,-311.64844,321.8681,-34.08914,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
Human GBM / peri-tumor astrocytes.1,-4370.729,-1423.265,982.647,-37.982056,-204.69328,-1196.8615,353.29257,186.50237,-958.4638,940.5159,1231.5463,-1360.3728,487.78983,510.55576,-186.58073,532.209,1338.5883,447.37827,-262.57507,-195.79607,151.96092,-33.59807,244.75389,-171.90308,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
Human GBM / peri-tumor astrocytes.2,-4363.7817,-1472.6161,849.1498,-410.35327,-230.5671,-1131.0453,448.599,394.93558,-211.99724,360.43793,580.97314,-683.4082,328.21887,715.57654,-328.76898,362.40396,655.2626,11.24,-1.2653874,-150.90855,-310.0209,201.28989,-461.3941,103.813896,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
Human GBM / peri-tumor astrocytes.3,-4351.436,-1496.3236,872.6279,-1070.4686,-255.79927,-932.9072,596.89355,453.90323,376.62524,-12.53902,104.16276,-325.2474,367.772,154.09787,-309.9576,646.8478,450.51166,-248.01666,532.23456,-43.78684,-535.5975,-69.91235,20.06739,223.77586,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
Human sclerotic hippocampi astrocytes,-3524.3013,-1437.3124,595.8246,-900.664,2112.3345,1099.0385,-46.09024,266.40747,-374.20215,634.05914,-647.0909,305.10898,162.26456,41.42535,-316.79556,561.0996,-212.98703,-232.8312,91.11255,-51.46594,-81.760544,26.398777,201.62312,15.533068,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
Human sclerotic hippocampi astrocytes.1,-3379.773,-1249.4191,500.9499,-149.98016,-807.72394,801.6271,334.57156,-349.39426,-515.79004,-111.13508,-35.490166,157.9216,-152.20615,-269.99023,94.21074,-45.93798,-251.63165,62.444607,-46.111084,26.887123,255.75978,101.69593,43.756187,-116.89004,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
Human sclerotic hippocampi astrocytes.2,-3508.7554,-1259.1642,748.23315,801.9264,1368.6506,-199.86618,172.59177,410.6279,-1355.0168,608.8702,-304.15405,690.28375,375.65265,324.87967,88.23282,1015.05774,-232.11531,-651.52454,97.8971,176.99725,797.0895,-164.59976,-262.05313,-59.844673,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
Human sclerotic hippocampi astrocytes.3,-3596.1826,-1483.0265,665.40015,-511.6765,2101.5603,-46.666695,-9.774628,690.1075,-291.84082,414.2103,-563.45435,406.95255,203.95343,235.67552,-402.12173,737.91016,-247.97583,-454.42715,305.39453,-16.191156,9.215748,58.093925,-12.850828,1.5121486,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
Human fetal astrocytes,-4366.0044,-1464.1676,820.0968,-913.9221,-207.81822,-1420.2275,656.62646,566.855,583.22205,-336.49268,14.557979,-431.66592,191.23366,-438.59534,-85.69489,229.89455,-565.6099,-103.731224,-43.432392,28.396748,-153.97086,-80.57809,-44.67208,88.83132,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
Human fetal astrocytes.1,-4380.186,-1495.2069,820.51404,-762.78674,-268.91364,-1291.9019,641.9986,799.65515,535.39343,766.17975,311.64877,-620.2506,171.06364,-1026.9266,-20.161472,-223.47603,-485.6988,-73.917656,-83.40384,-112.76585,150.36046,-161.72438,-12.235304,-77.78424,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Human fetal astrocytes.2,-4371.1943,-1490.809,897.4112,-642.00397,-191.609,-1450.3949,547.7392,622.8326,334.8484,247.56313,186.31274,-479.7299,105.88946,-756.72473,133.24536,-213.40074,-379.60458,50.18457,-137.90242,-58.212948,27.921621,-98.792206,38.336067,-5.4533024,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
Human fetal astrocytes.3,-4374.421,-1443.5153,953.8369,-649.1915,-210.58301,-1294.1667,717.44354,550.5504,240.79745,762.1742,327.3699,-618.4578,249.60535,-862.92706,-21.638016,-178.12364,-254.33195,-111.88601,-9.076298,-259.2395,69.73011,-289.49118,168.35072,-145.94412,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
Human fetal astrocytes.4,-4366.362,-1500.3446,780.8598,-942.76666,-222.94608,-1379.1926,675.3535,659.4075,698.3482,-226.92632,31.759794,-357.3623,152.23422,-356.64005,-103.5627,214.23961,-553.7613,-98.894585,-45.832508,24.557657,-117.781746,-57.14431,-101.09921,107.37315,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Human fetal astrocytes.5,-4376.8027,-1504.3615,778.3703,-595.4807,-200.60606,-1407.537,497.93756,635.0109,234.10684,298.91913,272.07343,-457.3611,77.80779,-520.8444,4.0881243,-151.78806,-290.01028,-31.581472,-173.02109,-104.71108,-28.38481,-125.800674,-21.607227,-20.999647,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
