,Human GBM / peri-tumor astrocytes,Human GBM / peri-tumor astrocytes.1,Human GBM / peri-tumor astrocytes.2,Human GBM / peri-tumor astrocytes.3,Human sclerotic hippocampi astrocytes,Human sclerotic hippocampi astrocytes.1,Human sclerotic hippocampi astrocytes.2,Human sclerotic hippocampi astrocytes.3,Human fetal astrocytes,Human fetal astrocytes.1,Human fetal astrocytes.2,Human fetal astrocytes.3,Human fetal astrocytes.4,Human fetal astrocytes.5,Human mature astrocytes,Human mature astrocytes.1,Human mature astrocytes.2,Human mature astrocytes.3,Human mature astrocytes.4,Human mature astrocytes.5,Human mature astrocytes.6,Human mature astrocytes.7,Human mature astrocytes.8,Human mature astrocytes.9,Human mature astrocytes.10,Human mature astrocytes.11,Human Neurons,Human Oligodendrocytes,Human Oligodendrocytes.1,Human Oligodendrocytes.2,Human Oligodendrocytes.3,Human Oligodendrocytes.4,Human Microglia/Macrophage,Human Microglia/Macrophage.1,Human Microglia/Macrophage.2,Human Endothelial,Human Endothelial.1,Human whole cortex,Human whole cortex.1,Human whole cortex.2,Human whole cortex.3,Mouse astrocytes-FACS,Mouse astrocytes-FACS.1,Mouse astrocytes-immunopanned,Mouse astrocytes-immunopanned.1,Mouse astrocytes-immunopanned.2,Mouse astrocytes-immunopanned.3,Mouse neurons,Mouse neurons.1,Mouse oligodendrocytes,Mouse oligodendrocytes.1,Mouse oligodendrocytes.2,Mouse oligodendrocytes.3,Mouse oligodendrocytes.4,Mouse oligodendrocytes.5,Mouse microglia,Mouse microglia.1,Mouse endothelial,Mouse endothelial.1,Mouse whole brain,Mouse whole brain.1,Mouse whole brain.2
0,10.52596,-0.3388483,0.8094274,2.1002262,5.8450093,8.509785,3.2858768,2.8154957,-17.11206,-8.459814,-9.298467,-7.723381,-17.272644,-9.642617,7.917867,8.359815,8.48627,8.252602,9.676797,8.624427,9.47235,9.874462,8.434897,8.962016,9.1564045,7.9863663,-5.425597,4.3460007,3.6660433,4.086912,3.1827261,3.440287,4.3661513,4.969895,4.7864556,-5.656205,-7.4936614,-6.242862,-4.8717403,-4.8079967,-4.3053355,0.17799559,0.26934457,2.412079,1.3990877,2.4354148,1.9924415,-16.853882,-15.859444,-8.897637,-10.020125,-5.672005,-6.6784363,-3.378189,-4.748071,-3.5506477,-4.167138,-9.410417,-9.18841,-15.219693,-14.863131,-15.234218
1,-3.8088803,-9.4921,-9.187111,-7.9121933,-10.4798,-8.231594,-11.15877,-11.245279,-4.545802,-5.1688704,-6.808076,-5.9343367,-4.487726,-4.984833,-5.0170717,-5.692145,-5.6940384,-6.269662,-6.415345,-6.0723424,-7.620082,-7.3434024,-6.76952,-7.1006584,-7.622739,-7.9908276,-9.962309,-11.672134,-12.843613,-12.547345,-11.052846,-11.893327,-9.16898,-8.389637,-8.3589325,-13.854129,-13.485026,-8.43707,-6.040555,-8.033403,-6.206082,0.3040413,0.1595159,-1.3135928,-2.4702652,-0.5519019,-2.261476,-5.3824873,-5.099593,-4.0537453,-4.4684887,-6.751592,-6.488889,-6.173699,-6.4147034,-3.655402,-3.1523674,-11.350963,-11.276545,-5.464016,-5.398642,-5.4981375
2,8.831466,13.450018,14.414956,15.456585,10.502066,10.51851,8.841122,10.224264,19.601849,18.19697,17.925455,18.646067,18.624756,18.246717,14.447421,14.128795,14.0147915,13.334857,11.827677,14.093876,10.585464,11.95368,13.394648,12.853221,11.798411,11.217427,11.482264,6.2575994,6.1074195,6.3152237,9.709009,6.6011834,3.2877927,3.192344,3.1744657,6.3505273,8.82884,12.474623,11.465944,12.864233,12.540384,18.583635,17.943249,14.590947,12.177782,15.418239,12.746373,17.763653,18.144588,16.193167,15.46528,9.608364,9.378536,4.1076517,5.645204,3.7235646,3.3792548,8.034991,7.914078,17.281784,16.78928,17.510191
3,-5.246038,-8.882685,-8.938249,-8.8152,-7.798059,-7.729536,-7.5834312,-7.708047,-9.82009,-9.471368,-10.178203,-9.750277,-9.577256,-9.816595,-8.559685,-8.312075,-8.233297,-7.962302,-7.9363494,-8.3364,-7.5807242,-7.7678413,-8.220238,-8.034223,-8.035151,-7.9236593,-7.800516,-6.493859,-6.073192,-6.272415,-7.4995465,-6.182339,-5.0458674,-4.894753,-4.951476,-10.305349,-11.028826,-8.4767,-7.249932,-8.676156,-7.8788795,-8.185944,-7.9884796,-7.5597153,-7.5014644,-7.528405,-7.442577,-6.9940515,-7.0593286,-8.129454,-7.880537,-5.9688253,-5.87862,-3.7791739,-4.521816,-4.353127,-3.993073,-9.528915,-9.457733,-9.009726,-8.878372,-9.217396
4,2.0754929,-10.655046,-11.411217,-11.108927,-1.2000753,-1.4778787,-1.5357921,-2.5258248,-23.143124,-18.21757,-17.636465,-18.493208,-22.177708,-19.465641,-4.2856026,-3.8254783,-3.7222872,-3.1515217,-1.481708,-3.960968,-0.2218257,-1.2770841,-2.9721103,-2.9010336,-1.2626717,-0.9735966,-6.167482,0.8905519,2.106998,1.9402753,-1.9408628,1.5807973,-0.82236445,-0.59287405,-0.41228074,-3.3511822,-6.0153365,-6.67809,-6.3937583,-6.830147,-6.765174,-6.735244,-6.282823,-2.4226215,-0.7533751,-2.896144,-0.70012045,-16.44438,-16.067251,-11.321674,-11.437355,-3.2365723,-4.034507,1.6136112,0.30189425,-3.6598964,-3.490791,-8.53827,-8.339243,-15.049622,-14.227961,-15.207499
5,-7.489274,-2.758436,-1.6241295,-1.3769891,-7.076059,-7.187263,-9.3161745,-6.4634295,-1.2098098,-0.1989186,-1.5024658,-0.52516764,-0.29884008,0.10018663,-7.2733173,-5.8305216,-6.2293043,-5.7602715,-7.523404,-5.8118806,-7.0139976,-5.8784757,-5.7719355,-5.3648105,-6.4841413,-6.44779,-2.3672369,-8.243378,-6.719807,-7.372107,-6.6339927,-6.2566266,-8.001905,-8.990936,-9.039065,-7.195389,-6.350646,-3.5909941,-1.4880962,-3.3618073,-2.1283703,-10.574828,-10.042179,-11.1296015,-12.977938,-11.773728,-12.4842005,-7.2205343,-7.303188,-12.99353,-13.269479,-13.192361,-13.8166485,-11.712502,-12.756393,-13.047685,-12.936204,-9.122059,-9.183185,-10.091208,-10.52836,-10.060551
6,-12.275679,5.3470545,3.3483088,-1.4426224,-3.2108347,-3.118872,3.1388245,-0.9713809,3.6413763,1.8022681,2.8453963,3.3681998,2.9893653,1.9098058,-8.003902,-9.002103,-8.543454,-8.543316,-6.078482,-7.8897753,-5.9022317,-7.4627075,-8.468016,-6.992572,-6.4135528,-6.345128,-4.1402783,4.0046096,0.98028183,1.2549686,-0.9231561,-0.5164956,13.504012,14.741697,14.13906,12.3858185,9.9398575,-7.7877307,-10.664059,-8.18796,-10.874452,-13.192542,-13.431953,-11.61462,-9.094006,-12.260657,-10.333692,-0.8571823,-1.8987136,1.0198905,2.2943137,-0.5367386,1.7426755,0.983255,0.7895123,16.85096,16.262512,18.796461,18.670153,2.3282866,1.9926403,2.1895154
7,14.429552,13.1892185,13.786492,14.324448,18.383299,16.474213,16.969374,18.04349,5.803855,7.173438,9.544713,8.514842,5.768222,6.5956736,14.896386,15.711844,15.781489,16.082645,15.640759,16.020535,16.414017,16.82651,16.689125,16.413195,16.72551,16.7497,15.844127,16.5337,17.608723,17.407736,17.585222,16.854504,12.255919,12.61096,12.508075,13.3277,14.000661,15.566951,13.026834,15.239433,13.64034,9.858855,9.831301,10.424113,10.94296,10.201905,10.993105,12.861882,13.16222,11.876497,11.818898,13.204499,12.620282,10.673426,11.5905695,10.755336,10.320424,12.246235,12.260359,11.957545,11.980836,12.000343
8,14.709053,1.5348382,0.9070163,1.4227614,10.9445715,11.30642,11.347712,9.15745,-9.156933,-5.835034,-4.556582,-5.9689937,-10.066104,-7.110929,10.302153,9.478842,9.859707,9.756805,11.861455,9.447808,12.066057,10.960949,9.915512,9.70175,11.180497,11.134368,3.03556,11.265748,10.847966,11.286373,9.55458,10.2078705,9.2814245,9.760088,9.802995,5.1026664,3.7444468,4.2037907,2.749133,4.328581,3.3192067,11.213172,10.854399,13.279301,15.030593,13.751761,14.866196,0.34664163,0.9097512,8.36094,8.277051,12.561342,12.465384,12.255269,12.808715,8.636883,8.368156,4.100058,4.2674966,3.271613,4.059018,3.2624962
9,-4.869081,-9.904686,-11.137078,-12.29391,-7.909284,-6.404907,-5.469584,-8.748645,-15.477631,-12.625687,-13.587259,-12.448622,-15.255588,-13.169419,-7.3937497,-8.582484,-8.245273,-8.549982,-5.9604335,-8.401533,-6.4989696,-7.8357835,-8.901021,-8.492862,-7.373408,-7.942085,-15.583503,-4.4528666,-5.9957433,-5.5342574,-8.482305,-6.720666,0.2125698,1.4184543,1.2672594,-8.712184,-11.665037,-16.420322,-16.127632,-16.149889,-16.252644,-7.1713004,-7.449168,-4.768781,-3.5616183,-4.463483,-3.8451135,-15.786393,-15.685105,-7.062061,-6.688,-3.576865,-2.8751245,-0.48184976,-1.4837252,3.424366,3.5614517,-6.400225,-6.2422457,-12.948907,-12.5048685,-13.2151785
