,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Human GBM / peri-tumor astrocytes,-3720.587,-2100.0679,-817.50464,-829.39575,-538.4619,-385.2528,-532.69867,-280.16916,474.45685,-1109.6702,-191.75412,135.10706,8.1452875,-34.919323,67.01366,261.84216,229.04077,32.60451,-422.3546,386.02792,-76.9549,-315.57898,351.2893,-22.720612,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
Human GBM / peri-tumor astrocytes.1,-4381.1455,-2345.5774,-382.70633,625.5731,-102.256294,-1367.1215,-524.7315,-154.3585,-810.95935,897.998,1265.1759,-1409.6932,550.63025,495.98984,-125.66849,531.5877,1342.4065,416.29584,-238.47487,-226.7893,165.97305,-37.5286,274.17508,-160.53455,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
Human GBM / peri-tumor astrocytes.2,-4374.198,-2394.9285,-516.20355,253.2019,-128.1301,-1301.3053,-429.42508,54.074715,-64.49278,317.91995,614.6028,-732.72864,391.0593,701.0106,-267.85672,361.78265,659.0809,-19.842422,22.834805,-181.9018,-296.0088,197.35936,-431.9729,115.18243,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
Human GBM / peri-tumor astrocytes.3,-4361.8525,-2418.636,-492.72537,-406.91348,-153.36227,-1103.1672,-281.13055,113.04235,524.1297,-55.056984,137.79239,-374.5678,430.61243,139.53195,-249.04535,646.2265,454.32996,-279.0991,556.3348,-74.780075,-521.5853,-73.84288,49.488586,235.1444,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
Human sclerotic hippocampi astrocytes,-3534.718,-2359.6248,-769.52875,-237.10884,2214.7715,928.7784,-924.1143,-74.45339,-226.6977,591.5412,-613.46124,255.78856,225.10498,26.859438,-255.88332,560.47833,-209.16875,-263.91364,115.21274,-82.459175,-67.74842,22.468246,231.04431,26.901596,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
Human sclerotic hippocampi astrocytes.1,-3390.1897,-2171.7314,-864.40344,513.575,-705.2869,631.36707,-543.4525,-690.2551,-368.28558,-153.65305,-1.8605341,108.60118,-89.36572,-284.55615,155.12299,-46.559284,-247.81337,31.362186,-22.010891,-4.1061115,269.7719,97.7654,73.17738,-105.52151,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Human sclerotic hippocampi astrocytes.2,-3519.172,-2181.4766,-617.1202,1465.4816,1471.0876,-370.1262,-705.4323,69.767044,-1207.5123,566.35223,-270.5244,640.9633,438.49307,310.31375,149.14507,1014.43646,-228.29703,-682.60693,121.99729,146.00401,811.1016,-168.53029,-232.63193,-48.476143,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
Human sclerotic hippocampi astrocytes.3,-3606.5994,-2405.3389,-699.9532,151.87866,2203.9973,-216.92671,-887.7987,349.2466,-144.33635,371.69232,-529.8247,357.63214,266.79385,221.1096,-341.20947,737.2889,-244.15755,-485.50958,329.49472,-47.18439,23.227873,54.163395,16.570368,12.880677,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
Human fetal astrocytes,-4376.421,-2386.48,-545.25653,-250.36694,-105.381226,-1590.4875,-221.3976,225.9941,730.7265,-379.01065,48.18761,-480.98633,254.07408,-453.16125,-24.782642,229.27324,-561.7916,-134.81364,-19.332201,-2.596487,-139.95872,-84.50861,-15.250887,100.19985,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
Human fetal astrocytes.1,-4390.6025,-2417.5193,-544.8393,-99.23155,-166.47664,-1462.1619,-236.02551,458.7943,682.8979,723.6618,345.2784,-669.57104,233.90407,-1041.4926,40.75078,-224.09734,-481.8805,-105.00008,-59.303646,-143.75908,164.37259,-165.6549,17.185892,-66.41571,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
