,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,1019.4206,973.68036,-1672.3555,-150.12262,360.29077,-194.43001,-453.10223,-908.7304,788.581,40.115868,human,astrocytes
Human GBM / peri-tumor astrocytes.1,-1597.6803,-337.22073,162.40327,784.7471,1399.1626,-521.6134,-1130.0764,1462.9595,-1136.5737,1555.2014,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-1574.9954,-520.60126,-227.153,438.44928,1135.5308,-850.8757,-301.60165,523.21515,-447.9458,1302.5554,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-1562.0433,-648.9043,-613.2628,84.0317,1023.99756,-729.39056,198.6227,310.027,61.773743,634.5849,human,astrocytes
Human sclerotic hippocampi astrocytes,1424.9476,-88.469536,3934.4946,-4105.4883,-1202.4095,1187.3195,928.51056,591.5283,206.54782,99.028496,human,astrocytes
Human sclerotic hippocampi astrocytes.1,2465.5312,744.18036,-763.469,700.8843,-519.92975,772.9455,-658.9361,-35.46236,15.457191,-303.26456,human,astrocytes
Human sclerotic hippocampi astrocytes.2,1639.4257,461.69043,3308.9275,-1250.1592,-277.37396,110.5337,-697.67267,802.75525,-63.23379,495.86917,human,astrocytes
Human sclerotic hippocampi astrocytes.3,1181.4451,-335.37515,3721.5825,-3396.5151,-443.00027,1.7445394,810.2756,180.5477,205.62502,319.5525,human,astrocytes
Human fetal astrocytes,-1617.6915,-540.26514,-617.19556,185.02039,1279.9642,-1413.1086,154.44417,192.0002,265.41797,-157.45685,human,astrocytes
Human fetal astrocytes.1,-1643.9861,-625.9755,-552.0788,348.02188,1153.8088,-1200.3881,964.19336,1147.5085,-977.44037,-614.1211,human,astrocytes
Human fetal astrocytes.2,-1608.9,-631.5961,-276.6951,465.29065,1390.0588,-1194.7562,322.59656,741.8922,-548.05426,-541.4775,human,astrocytes
Human fetal astrocytes.3,-1640.4764,-471.8493,-301.6011,454.16898,1404.7653,-1021.067,450.21072,1635.9435,-910.4682,-443.8735,human,astrocytes
Human fetal astrocytes.4,-1608.761,-687.59576,-694.47516,149.04327,1147.0051,-1470.1675,413.75336,156.24536,140.66489,-115.2087,human,astrocytes
Human fetal astrocytes.5,-1618.1974,-642.99994,-435.91467,311.22397,1157.689,-1349.1715,250.74669,639.4143,-588.1996,-233.63184,human,astrocytes
Human mature astrocytes,-1421.9265,1955.3912,-2169.8506,-698.1985,-713.2027,1359.2632,-662.3832,540.534,578.0088,281.82605,human,astrocytes
Human mature astrocytes.1,-993.02985,-79.93722,-2635.143,-588.7061,-1447.367,2001.6013,437.57483,562.6366,529.2242,-116.128235,human,astrocytes
Human mature astrocytes.2,-1373.579,728.6803,-2361.7039,-577.75916,-1190.1946,1458.2997,722.17914,672.9699,57.83921,-47.802925,human,astrocytes
Human mature astrocytes.3,-1131.9141,268.39514,-2411.7048,-670.06476,-1358.1833,1505.773,821.1171,374.22894,40.022484,-7.2957854,human,astrocytes
Human mature astrocytes.4,-905.7437,2411.2693,-1985.7097,-475.6531,-833.104,2034.4641,-1736.721,390.6773,349.75302,-89.146385,human,astrocytes
Human mature astrocytes.5,-1519.0051,457.24863,-2699.7263,-680.82666,-1748.4227,2229.1763,902.0558,1021.2759,-12.562582,-76.45833,human,astrocytes
Human mature astrocytes.6,-619.5588,535.3675,-1155.3319,3.116108,-406.02686,877.489,-1254.4641,-425.24698,-71.5146,-2.9489806,human,astrocytes
Human mature astrocytes.7,-979.3869,264.65067,-1373.381,-160.03162,-539.04114,1186.6731,-918.8434,29.4455,184.0194,-278.88168,human,astrocytes
Human mature astrocytes.8,-338.5494,12.221353,-2243.7375,-515.62024,-1114.9543,1146.0665,1106.2701,291.91983,-65.13438,-76.05925,human,astrocytes
Human mature astrocytes.9,-1536.5977,-172.3367,-1804.1246,-241.47166,-776.9174,772.70483,917.74866,132.65718,-88.276665,8.465365,human,astrocytes
Human mature astrocytes.10,-590.8545,601.89996,-1590.0632,-457.95053,-657.79083,1349.7589,-1028.3271,-10.641906,370.59964,-199.90169,human,astrocytes
Human mature astrocytes.11,-884.60675,253.11862,-1319.9656,-369.35886,-509.60275,1045.458,-748.4244,-250.19104,243.97229,-300.33542,human,astrocytes
Human Neurons,-1500.0696,-681.327,-530.1693,249.02768,778.32294,-796.9273,242.73845,134.02275,155.35617,-1141.7812,human,neurons
Human Oligodendrocytes,4302.94,226.72453,1997.769,780.2166,145.73845,-97.53605,-1520.0223,-735.35364,-1230.8555,90.03042,human,oligodendrocytes
Human Oligodendrocytes.1,5005.46,-21.357561,4149.8423,-2653.69,1.729599,299.3085,-401.77444,-736.0136,-564.10956,-335.01974,human,oligodendrocytes
Human Oligodendrocytes.2,10810.065,691.46765,6517.5293,-3801.1267,-502.57953,990.7619,-449.82684,-280.51617,-947.43396,-841.1132,human,oligodendrocytes
Human Oligodendrocytes.3,6327.2397,335.3865,391.69928,71.88149,581.7754,-543.0011,-779.6738,-701.8758,-444.29318,-190.96167,human,oligodendrocytes
Human Oligodendrocytes.4,10394.027,546.01245,2621.974,-1481.0017,207.75418,-95.189575,-368.36407,-1323.6398,-779.9519,-534.70966,human,oligodendrocytes
Human Microglia/Macrophage,-1627.6534,-296.21356,662.58405,2453.9734,-789.0649,-899.8369,1540.2168,-412.36734,-737.2482,928.41956,human,microglia
Human Microglia/Macrophage.1,-1644.8282,777.9788,3447.153,6035.8003,-2261.5752,-470.17725,-321.08298,-175.3565,-165.31876,593.663,human,microglia
Human Microglia/Macrophage.2,-1598.6055,1655.4452,5563.4043,9418.868,-4205.1606,187.92653,482.0208,249.84679,758.25085,-649.129,human,microglia
Human Endothelial,-1180.821,-435.67227,-100.869705,765.8091,1530.096,-506.66092,-675.70465,-994.0877,328.98975,886.1796,human,endothelial
Human Endothelial.1,-612.8114,-477.3852,-514.4581,517.03735,1387.2822,-727.84686,-242.51216,-988.4035,640.82416,588.44336,human,endothelial
Human whole cortex,-467.4651,-691.84753,-965.61096,-179.26735,672.24384,-1313.4575,490.36813,-1112.8351,674.5864,-118.49383,human,whole brain
Human whole cortex.1,-1535.0894,-854.27563,-1197.2306,-208.90974,554.036,-1454.062,1368.308,-1424.8254,357.27963,-258.72192,human,whole brain
Human whole cortex.2,-1379.0564,-757.3938,-1126.691,-110.11523,613.9397,-1163.3815,581.67096,-1071.7607,608.7581,-123.56266,human,whole brain
Human whole cortex.3,-1517.556,-836.21686,-1180.7609,-194.94086,589.92426,-1355.726,994.9003,-1398.023,535.4916,-195.38773,human,whole brain
Mouse astrocytes-FACS,-7347.7236,-4169.723,-843.9533,-345.11896,-951.19336,-725.03485,-267.66534,-1025.4764,73.11962,457.3883,mouse,astrocytes
Mouse astrocytes-FACS.1,-7379.223,-4330.254,-1198.8525,-394.83096,-1449.1486,-641.5738,1964.6191,-465.18927,-1278.5773,290.9921,mouse,astrocytes
Mouse astrocytes-immunopanned,-6546.5034,-3166.6357,-1517.9287,-566.082,-1839.7109,841.0094,-293.31705,-664.52576,-615.888,81.69788,mouse,astrocytes
Mouse astrocytes-immunopanned.1,-7084.765,-2981.7473,-1175.4714,-565.68115,-1468.2076,469.90936,-738.1488,-954.8813,-258.54062,210.50511,mouse,astrocytes
Mouse astrocytes-immunopanned.2,-6819.237,-3209.8113,-1549.0073,-574.2352,-1897.7911,556.7707,786.86646,-391.8948,-1192.895,255.34238,mouse,astrocytes
Mouse astrocytes-immunopanned.3,-6615.864,-2820.0144,-1243.1655,-511.38477,-1656.4945,875.93445,-722.3013,-941.46484,-584.03394,152.30005,mouse,astrocytes
Mouse neurons,-7271.626,-4592.9995,55.82805,-32.836704,380.8197,-1786.7917,-397.88812,385.5473,269.60553,-655.4979,mouse,neurons
Mouse neurons.1,-7286.441,-4440.0947,32.268814,-31.272373,349.02518,-1649.6122,-521.9893,355.37155,311.70346,-695.13434,mouse,neurons
Mouse oligodendrocytes,-7302.817,-2852.5203,-303.27188,-243.5888,-180.49579,-975.14417,-590.446,179.88985,426.8749,202.10951,mouse,oligodendrocytes
Mouse oligodendrocytes.1,-7196.671,-3438.9338,-60.04668,-136.3118,224.79485,-1217.5901,-797.4419,599.208,558.50476,178.7604,mouse,oligodendrocytes
Mouse oligodendrocytes.2,9836.78,-2983.8577,5021.118,-4479.919,-1249.6989,-511.60773,1032.222,464.04352,1624.836,725.5201,mouse,oligodendrocytes
Mouse oligodendrocytes.3,10144.967,-2738.2463,351.73874,-366.90073,207.86838,-1261.4131,-216.62971,1102.5491,1145.4977,684.53864,mouse,oligodendrocytes
