,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,-3707.6245,-1597.6733,-545.96106,-1079.5259,-583.0601,-257.84732,183.13481,349.36337,-986.8233,-375.1358,human,astrocytes
Human GBM / peri-tumor astrocytes.1,-4364.4307,-1840.2178,458.63004,39.679672,-158.26855,-1255.0991,-284.85794,-831.6549,661.52576,1464.793,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-4358.1157,-1892.6343,163.19035,-210.13513,-181.67128,-1201.5997,-231.18736,-57.809017,212.53262,693.3144,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-4348.458,-1925.9587,-110.68285,-775.2035,-200.82172,-1012.5236,23.150517,538.18085,-125.889015,194.1783,human,astrocytes
Human sclerotic hippocampi astrocytes,-3517.5554,-1849.6785,-276.79556,-508.41745,2164.3796,1076.9816,-343.71255,-277.24393,632.17303,-539.6625,human,astrocytes
Human sclerotic hippocampi astrocytes.1,-3372.75,-1653.3845,-52.550957,186.826,-763.2129,726.4189,259.35217,-590.96704,-69.09883,-79.54762,human,astrocytes
Human sclerotic hippocampi astrocytes.2,-3499.4443,-1658.0128,571.4193,944.5901,1404.3256,-272.59207,-705.35065,-1160.9485,515.42456,-167.43326,human,astrocytes
Human sclerotic hippocampi astrocytes.3,-3588.1003,-1892.1235,-35.540348,-222.0019,2150.1277,-72.98559,-716.30206,-68.938225,385.15854,-469.6554,human,astrocytes
Human fetal astrocytes,-4362.149,-1890.2161,-84.62994,-629.682,-154.60594,-1507.0594,-27.392595,768.82086,-424.66882,61.4764,human,astrocytes
Human fetal astrocytes.1,-4376.1836,-1921.377,-35.463978,-472.34842,-217.52962,-1385.8574,-227.63231,795.3885,560.8129,534.22546,human,astrocytes
Human fetal astrocytes.2,-4366.557,-1914.8184,107.60659,-432.65674,-140.38593,-1526.7289,-210.39941,541.7639,110.07927,313.04767,human,astrocytes
Human fetal astrocytes.3,-4371.327,-1871.7625,129.23563,-415.0618,-159.70757,-1395.4279,-47.132202,443.2475,551.08905,555.50104,human,astrocytes
Human fetal astrocytes.4,-4362.3657,-1926.6445,-140.08858,-627.6361,-169.81375,-1471.1184,-65.554375,907.10986,-319.44336,87.87682,human,astrocytes
Human fetal astrocytes.5,-4371.0454,-1924.7977,22.54645,-350.4185,-150.43292,-1481.4574,-290.579,444.1471,164.9065,390.4028,human,astrocytes
Human mature astrocytes,-4291.2227,-1329.8407,-901.9261,-1275.6133,-982.7035,1282.1377,802.1915,-339.64386,-90.170204,183.0842,human,astrocytes
Human mature astrocytes.1,-4236.717,-1855.42,-1212.0343,-1673.3718,-1437.3816,2476.7014,1428.6116,-135.60323,306.15802,-382.9177,human,astrocytes
Human mature astrocytes.2,-4309.311,-1631.2811,-1049.9525,-1352.6793,-1200.543,1781.7937,887.35626,134.70735,526.8662,-74.45421,human,astrocytes
Human mature astrocytes.3,-4260.852,-1776.1896,-1162.6101,-1466.7037,-1260.6875,2116.271,1017.15607,33.173775,526.1942,-216.95235,human,astrocytes
Human mature astrocytes.4,-4167.322,-1236.7612,-737.3588,-1154.6512,-1105.0829,1719.8405,858.0391,-1296.6484,-167.9819,264.10965,human,astrocytes
Human mature astrocytes.5,-4357.0273,-1710.4548,-1265.1543,-1574.1947,-1479.1902,2661.8413,1246.5021,-47.202847,754.75024,-197.50784,human,astrocytes
Human mature astrocytes.6,-4121.8022,-1683.9722,-397.88843,-615.5451,-724.0043,621.98724,104.00794,-865.1383,-198.87106,182.0302,human,astrocytes
Human mature astrocytes.7,-4212.4067,-1743.0415,-482.93982,-825.92474,-789.7285,849.95026,465.43127,-679.6582,-203.18594,135.92264,human,astrocytes
Human mature astrocytes.8,-4068.3762,-1837.5061,-1028.513,-1320.8073,-1116.4719,1643.9049,754.79956,325.8896,491.52005,-206.18626,human,astrocytes
Human mature astrocytes.9,-4358.552,-1844.4973,-787.9746,-1088.32,-988.3841,1123.6826,563.89197,400.2194,338.85117,-216.4779,human,astrocytes
Human mature astrocytes.10,-4112.5845,-1672.161,-692.0911,-1119.071,-836.14197,1235.9216,636.9915,-806.32007,-210.46127,-66.68439,human,astrocytes
Human mature astrocytes.11,-4188.662,-1756.234,-584.6618,-975.71326,-727.4266,950.24677,409.87964,-681.765,-165.82256,-97.3969,human,astrocytes
Human Neurons,-4339.0728,-1937.3063,-78.15535,-483.28946,-231.19205,-999.72736,61.643837,318.0809,121.66826,-275.925,human,neurons
Human Oligodendrocytes,-2907.245,-1796.516,888.2727,1523.5162,486.3147,-740.8921,-1409.9415,-1661.6008,378.2709,471.4032,human,oligodendrocytes
Human Oligodendrocytes.1,-2662.6494,-1893.4666,415.06235,269.53415,2264.2366,-427.36264,-1576.6857,-1242.2826,374.4372,-394.3171,human,oligodendrocytes
Human Oligodendrocytes.2,-1201.6133,-1809.1202,779.3199,951.5627,3426.3,46.098972,-1948.6112,-1837.4852,733.5856,-563.8668,human,oligodendrocytes
Human Oligodendrocytes.3,-2410.6985,-1828.3079,212.62651,127.73084,391.91507,-1020.68567,-1036.5505,-749.306,-159.62964,-229.49492,human,oligodendrocytes
Human Oligodendrocytes.4,-1372.9529,-1858.8595,367.427,398.76315,1593.7046,-655.79626,-1542.6012,-852.0103,8.3708725,-228.47163,human,oligodendrocytes
Human Microglia/Macrophage,-4392.799,-1767.4865,836.55164,2410.0413,-828.80743,-303.90115,-440.34772,1047.5856,607.79047,456.03134,human,microglia
Human Microglia/Macrophage.1,-4417.624,-1328.4775,2733.1587,7030.271,-1436.1366,508.20038,-38.266876,-214.26707,127.22888,530.02527,human,microglia
Human Microglia/Macrophage.2,-4411.937,-933.8852,4205.571,11214.677,-2314.056,1900.0786,999.1128,841.2991,-476.37912,-481.58307,human,microglia
Human Endothelial,-4265.0693,-1874.5172,400.06732,-189.11853,-207.74844,-1339.7697,-631.0444,-142.22714,-604.19415,246.56065,human,endothelial
Human Endothelial.1,-4121.3037,-1895.0765,117.33576,-543.85486,-251.56459,-1251.8068,-277.89026,413.01822,-778.5196,-23.497784,human,endothelial
Human whole cortex,-4083.7678,-1966.8907,-378.8407,-794.65576,-185.08214,-1138.9592,-180.98785,1022.8948,-832.95026,-491.26868,human,whole brain
Human whole cortex.1,-4355.076,-2001.489,-485.1114,-876.656,-298.9771,-1174.5984,-498.6612,1551.7156,-880.46295,-782.1082,human,whole brain
Human whole cortex.2,-4312.3535,-1972.5416,-413.21002,-857.3879,-330.45505,-975.99493,-126.05071,1008.56836,-778.11346,-499.09705,human,whole brain
Human whole cortex.3,-4349.9346,-1995.4733,-468.466,-891.8947,-307.07486,-1115.0752,-367.97565,1342.8773,-970.0689,-733.84985,human,whole brain
Mouse astrocytes-FACS,-4356.9956,-2574.344,-2315.5906,650.6031,-414.40332,21.450306,-679.13385,172.92769,-604.6827,-106.79836,mouse,astrocytes
Mouse astrocytes-FACS.1,-4397.9126,-2806.6812,-2812.8066,629.4924,-860.46295,818.50995,-1794.8334,2578.5317,2189.151,239.44824,mouse,astrocytes
Mouse astrocytes-immunopanned,-2877.096,-970.551,-2642.0857,142.93362,-1184.2915,2057.622,-1409.7933,-209.22147,-840.8479,325.27655,mouse,astrocytes
Mouse astrocytes-immunopanned.1,-3759.616,-626.2577,-2383.8525,237.12029,-792.3763,1483.9093,-1258.4653,-577.15845,-1501.4893,197.21107,mouse,astrocytes
Mouse astrocytes-immunopanned.2,-3324.048,-1022.08734,-2830.183,216.77141,-1233.7527,2042.617,-1787.8765,1144.6993,885.13196,580.5218,mouse,astrocytes
Mouse astrocytes-immunopanned.3,-2967.0854,-406.29294,-2299.2144,132.0264,-1042.6987,1996.6069,-1644.4224,-595.3303,-1487.9669,262.5474,mouse,astrocytes
Mouse neurons,-4277.1216,-3188.235,-1051.0277,782.1499,542.5644,-2237.2144,1220.6951,-231.0806,736.4846,-1314.7334,mouse,neurons
Mouse neurons.1,-4280.1333,-2933.9543,-1015.04694,741.12933,506.42963,-2118.2446,1245.2948,-386.468,567.83685,-1334.9573,mouse,neurons
Mouse oligodendrocytes,-4114.601,-366.71854,-1397.761,598.95276,380.33963,-908.77673,903.3399,-324.26706,-408.25104,927.44604,mouse,oligodendrocytes
Mouse oligodendrocytes.1,-4008.4885,-1309.9994,-983.3548,602.7747,680.19244,-1529.1692,1542.6862,-495.68286,-265.35828,1387.6653,mouse,oligodendrocytes
Mouse oligodendrocytes.2,23308.51,-1571.8636,-277.6683,847.12067,11479.743,3027.6326,801.9803,1462.4736,-388.73746,64.80062,mouse,oligodendrocytes
Mouse oligodendrocytes.3,24182.775,-1267.3531,-92.04573,91.87638,2329.4316,-928.2865,2438.7842,359.91318,-353.48236,2027.6342,mouse,oligodendrocytes
Mouse oligodendrocytes.4,111746.08,1624.2739,42.544327,-290.6783,-4530.257,-1046.5658,-431.0445,-337.3736,373.83148,-299.29642,mouse,oligodendrocytes
Mouse oligodendrocytes.5,72407.04,833.40497,152.98843,38.270485,1609.6659,784.15576,-250.3072,81.96921,-291.32233,-289.36716,mouse,oligodendrocytes
Mouse microglia,-5444.3613,41113.31,1582.1467,969.93567,-172.69144,248.46674,597.3994,149.86748,-296.9772,-722.1278,mouse,microglia
Mouse microglia.1,-5932.1426,57380.98,-1141.4244,-876.91925,389.65958,-452.96967,-376.8055,-13.8933,347.24887,418.4551,mouse,microglia
Mouse endothelial,-4262.1323,-1849.0289,10508.039,-3427.2803,-446.116,897.5546,-279.07214,308.64807,-25.235016,47.606186,mouse,endothelial
Mouse endothelial.1,-4253.693,-1689.1111,11625.742,-3806.0085,-461.1752,1045.3254,-244.68953,267.8559,33.281548,136.66286,mouse,endothelial
Mouse whole brain,-4084.5723,-1908.0992,-568.70184,501.28476,431.85913,-1386.1469,1348.5994,-705.8761,254.11485,-500.02496,mouse,whole brain
Mouse whole brain.1,-3945.332,-1790.4355,-571.5398,478.94064,424.33838,-1229.8348,1277.2345,-729.0373,149.32869,-534.0151,mouse,whole brain
