,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,207.71371,183.80078,-460.57886,-1179.1931,-60.61295,-227.75085,-204.738,401.77783,-1060.5853,-174.55052,human,astrocytes
Human GBM / peri-tumor astrocytes.1,-426.0875,-100.364204,479.2386,64.44624,84.17569,-1217.2837,211.53804,-838.58777,844.00665,1242.183,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-417.65677,-155.45073,191.68538,-196.5228,107.33188,-1167.6356,208.27711,-59.975925,288.7326,603.8339,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-411.54916,-200.36269,-71.781456,-751.4651,223.49234,-984.1469,6.4595647,545.5611,-103.71279,128.25572,human,astrocytes
Human sclerotic hippocampi astrocytes,407.53082,-76.94633,-433.81174,234.56187,2363.7456,1143.9534,141.15237,-244.60033,563.0144,-622.74133,human,astrocytes
Human sclerotic hippocampi astrocytes.1,553.83344,169.57182,17.641235,-8.062794,-597.55554,748.93365,-375.0381,-516.5428,-97.411766,7.0842943,human,astrocytes
Human sclerotic hippocampi astrocytes.2,423.3402,142.01195,456.99246,1403.4011,1287.674,-215.33759,505.51456,-1182.9954,531.6326,-279.47928,human,astrocytes
Human sclerotic hippocampi astrocytes.3,343.36572,-117.78017,-192.5802,508.7322,2303.1685,-2.5147057,561.3022,-81.65889,333.0695,-537.8792,human,astrocytes
Human fetal astrocytes,-425.74847,-161.45871,-50.393078,-598.80585,234.33772,-1478.193,80.86448,770.2088,-421.9408,42.597515,human,astrocytes
Human fetal astrocytes.1,-437.15332,-192.69208,0.77075046,-468.92752,124.92227,-1358.3695,293.57947,770.8603,631.99133,321.2426,human,astrocytes
Human fetal astrocytes.2,-426.97705,-183.56187,136.63887,-397.7438,208.22115,-1494.2583,245.51323,530.772,152.22557,207.24806,human,astrocytes
Human fetal astrocytes.3,-437.46732,-146.22823,159.74814,-390.52292,170.5782,-1368.6952,82.95507,435.18915,629.01935,336.81125,human,astrocytes
Human fetal astrocytes.4,-423.43707,-198.04521,-105.33709,-604.3203,211.3235,-1443.7172,133.87247,902.29407,-314.83826,58.85241,human,astrocytes
Human fetal astrocytes.5,-428.50342,-189.1133,51.419865,-326.24854,171.38298,-1447.9922,314.75754,429.9466,212.17131,294.0321,human,astrocytes
