,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,-901.5186,-1017.60114,-172.06616,-564.2051,-419.1066,-482.0254,-705.0728,-617.8092,-380.85632,266.2814,human,astrocytes
Human GBM / peri-tumor astrocytes.1,-240.60817,407.82138,1061.6261,-721.2159,-254.2154,1042.3165,2013.9893,60.227394,-735.3371,830.6589,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-242.75482,59.262367,913.11694,-919.9088,-198.0259,259.62836,933.6436,361.9872,-637.04584,732.2721,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-237.18459,-574.13403,658.52765,-986.2346,-123.65077,-520.90204,426.4589,44.09785,-65.66756,827.5052,human,astrocytes
Human sclerotic hippocampi astrocytes,-1087.8771,-504.50134,1202.3406,2292.0132,636.13586,-867.366,77.921906,497.8235,404.90417,386.89536,human,astrocytes
Human sclerotic hippocampi astrocytes.1,-1273.6771,340.58145,-826.0605,452.57297,-172.67633,330.05014,-72.04535,-370.05496,119.24204,-158.91743,human,astrocytes
Human sclerotic hippocampi astrocytes.2,-1107.3901,1206.0598,1776.5154,1357.1122,245.6045,312.20535,177.52606,171.5867,334.4878,1161.0403,human,astrocytes
Human sclerotic hippocampi astrocytes.3,-1005.6872,-136.75276,2037.7037,1403.6595,465.3427,-801.8118,-77.349846,556.15015,312.94183,669.1185,human,astrocytes
Human fetal astrocytes,-222.12244,-432.02432,975.23883,-1420.139,-282.25345,-682.34766,252.95299,-237.48769,397.1686,-93.43497,human,astrocytes
Human fetal astrocytes.1,-225.13385,-255.29259,954.14404,-1325.9563,-290.63785,-413.92816,940.4159,153.22928,1064.3829,-635.0919,human,astrocytes
Human fetal astrocytes.2,-225.24399,-169.2884,1104.6228,-1310.8649,-267.15723,-298.0941,573.1776,-177.4428,632.2239,-520.04736,human,astrocytes
Human fetal astrocytes.3,-222.10461,-148.65631,969.16516,-1169.0946,-252.62653,-263.60333,1091.4121,73.429344,886.42554,-424.7474,human,astrocytes
Human fetal astrocytes.4,-220.85468,-448.54922,944.9686,-1439.2338,-266.7914,-743.8563,223.8741,-75.382484,382.83795,-97.50569,human,astrocytes
Human fetal astrocytes.5,-226.29305,-123.89502,1088.7128,-1237.5203,-280.874,-167.93808,574.99854,46.13398,478.21625,-405.68997,human,astrocytes
Human mature astrocytes,-334.1086,-1320.3577,-1591.6254,615.43,-460.82028,-53.483032,381.91754,-326.93857,-100.98836,356.7542,human,astrocytes
Human mature astrocytes.1,-397.54407,-1808.7576,-2933.4226,1092.2357,170.09322,-279.32687,-100.01547,155.4639,50.78286,-89.677216,human,astrocytes
Human mature astrocytes.2,-327.5003,-1441.3308,-2123.773,716.1959,-120.069176,-285.56705,147.4385,327.32916,194.71155,62.97561,human,astrocytes
Human mature astrocytes.3,-378.84094,-1592.2842,-2440.4797,932.337,11.213944,-229.46342,-43.69716,490.74756,162.16809,5.1744237,human,astrocytes
Human mature astrocytes.4,-477.15158,-1145.0204,-1897.2534,1175.5071,-467.547,718.3781,478.32965,-922.95264,-390.03625,-56.95057,human,astrocytes
Human mature astrocytes.5,-289.33408,-1723.4498,-2993.4775,1241.3226,85.01979,-245.00948,150.31216,558.02936,305.7259,11.927218,human,astrocytes
Human mature astrocytes.6,-512.02136,-514.2029,-693.1644,417.09824,-198.17152,674.6892,93.82049,-357.9758,-386.02396,-150.61531,human,astrocytes
Human mature astrocytes.7,-416.45645,-750.87854,-1031.282,425.9857,-104.60405,377.342,227.28432,-550.69196,-575.823,-196.35115,human,astrocytes
Human mature astrocytes.8,-565.704,-1407.5833,-1949.8241,568.31726,19.391687,-383.85938,-104.73929,536.2837,174.39651,-40.99135,human,astrocytes
Human mature astrocytes.9,-270.78165,-1097.0536,-1454.0309,238.34004,6.0926437,-412.43936,-126.86176,545.31824,155.76543,-17.281296,human,astrocytes
Human mature astrocytes.10,-513.18915,-1104.2399,-1369.1283,759.6912,-78.531136,344.97156,72.38003,-483.58524,-171.43541,-96.366455,human,astrocytes
Human mature astrocytes.11,-439.43903,-928.3654,-1039.6664,581.7159,-64.76781,365.51,-60.328735,-415.65234,-139.34654,-233.12852,human,astrocytes
Human Neurons,-258.4836,-300.45737,593.25714,-818.23016,-151.6066,-331.03485,90.20877,-100.23475,46.689224,-87.21582,human,neurons
