,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,1.1811217,0.25034004,-0.1076099,-0.016931819,0.35713217,0.6879699,-0.17637761,0.2816429,-0.041752454,-0.10613404,human,astrocytes
Human GBM / peri-tumor astrocytes.1,-1.0648402,-0.70070076,-0.2503191,-0.18257454,0.12830125,-0.22225206,-0.09236206,-0.4301077,-0.1705658,-0.1066613,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-0.9738732,-0.6559982,-0.087292925,-0.20056795,-0.01227031,-0.2891831,-0.10326081,-0.43205982,-0.139085,-0.2314025,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-0.5383048,-0.6828482,0.34120995,-0.27330944,-0.0049806545,-0.42892835,-0.21527398,0.13062322,-0.10049841,0.30870467,human,astrocytes
Human sclerotic hippocampi astrocytes,0.16405106,1.0924686,0.053703617,-0.48879105,-0.5185291,-0.28629065,0.27684957,-0.09210031,-0.07570248,-0.01725018,human,astrocytes
Human sclerotic hippocampi astrocytes.1,0.8424889,0.5533166,-0.5718472,-0.4923794,0.5121906,0.037860587,0.5763664,0.35208836,0.061927885,-0.23671347,human,astrocytes
Human sclerotic hippocampi astrocytes.2,-1.0682076,0.68478096,-0.62649304,-0.50270784,-0.41452092,0.093800575,0.058693316,0.08804298,0.11328458,0.20937818,human,astrocytes
Human sclerotic hippocampi astrocytes.3,-0.6432384,1.2414011,0.038136072,-0.3000963,-0.6607824,-0.1774639,0.10544967,-0.13454859,0.022102969,0.019713871,human,astrocytes
Human fetal astrocytes,-1.1459085,-0.86124885,0.50211054,-0.13799268,-0.14358772,0.5306382,-0.02546186,-0.1458125,-0.16353649,0.13845548,human,astrocytes
Human fetal astrocytes.1,-0.90385866,-0.9581657,0.5859518,-0.12320343,-0.04732606,0.22144502,0.36549583,-0.12527181,-0.18893729,0.26334408,human,astrocytes
Human fetal astrocytes.2,-1.198123,-0.77112603,0.36610556,-0.33491877,0.18188792,0.23355731,0.2194396,0.29305428,-0.24740577,0.31131497,human,astrocytes
Human fetal astrocytes.3,-1.0173721,-0.9583369,0.34324852,-0.45281023,0.09070894,0.1793621,0.30575758,0.19030549,-0.13659908,0.35266846,human,astrocytes
Human fetal astrocytes.4,-1.0840515,-0.8281758,0.6451081,-0.0774009,-0.18930475,0.5477572,0.15628822,-0.13506131,-0.27292514,-0.005807221,human,astrocytes
Human fetal astrocytes.5,-1.1499554,-0.87219685,0.41506162,-0.32925963,0.19854546,0.10657581,0.37835214,-0.18427335,-0.1794596,0.19550608,human,astrocytes
Human mature astrocytes,1.7047048,-0.51219636,-0.22323082,-0.33322135,-0.28881994,-0.0076788845,-0.21214333,-0.04667543,-0.1349056,0.082449265,human,astrocytes
Human mature astrocytes.1,1.9422606,-0.16764961,0.11467298,-0.2662794,-0.32076332,-0.16379702,-0.42867768,0.02011041,-0.030658375,-0.064169586,human,astrocytes
Human mature astrocytes.2,1.8223298,-0.613239,-0.08694734,-0.1649801,-0.21926558,-0.02648619,-0.0677287,0.02416167,-0.40221643,-0.07466912,human,astrocytes
Human mature astrocytes.3,1.910863,-0.16262755,0.053847026,-0.088465154,-0.26827148,-0.081897885,-0.10258011,0.045437586,-0.35666978,-0.2588537,human,astrocytes
Human mature astrocytes.4,1.5350189,-0.424222,-0.47565368,-0.62452865,0.18439262,-0.039697357,-0.21836941,-0.1132428,0.16694388,0.15410471,human,astrocytes
Human mature astrocytes.5,1.9576386,-0.39520538,0.040535234,-0.16874045,-0.24134077,-0.13638996,-0.1961588,0.0033928414,-0.21237102,-0.020355603,human,astrocytes
Human mature astrocytes.6,1.190906,-0.13551365,-0.757798,-0.54853946,0.60125095,0.124240234,0.31554222,-0.08112299,-0.0771237,-0.025494296,human,astrocytes
Human mature astrocytes.7,1.19395,-0.39547914,-0.3898093,-0.37626895,0.1572883,-0.12545511,-0.17969611,-0.104822285,0.049585495,0.18949519,human,astrocytes
Human mature astrocytes.8,1.8899871,0.0026163356,0.30712235,-0.21250379,-0.26230234,-0.16068088,0.07525285,0.16868009,-0.17581132,-0.1828309,human,astrocytes
Human mature astrocytes.9,1.735321,-0.41487575,0.19009197,-0.0821248,-0.08576873,-0.28836474,0.1290843,0.10225534,-0.26098746,-0.0074764523,human,astrocytes
Human mature astrocytes.10,1.66232,-0.17964883,-0.35727236,-0.72002083,-0.009089152,0.08989705,-0.097392954,0.02547583,0.12682992,0.08264518,human,astrocytes
Human mature astrocytes.11,1.576273,-0.18782653,-0.39819524,-0.5426738,0.3997504,-0.1407007,0.123902366,-0.09227695,0.048231106,0.042828802,human,astrocytes
Human Neurons,-0.55065006,-0.4877005,0.4926413,-0.27231959,-0.17182261,-0.039584193,-0.21804576,-0.11436804,-0.10518949,-0.10507669,human,neurons
Human Oligodendrocytes,-1.0900577,1.135518,-0.7815551,-0.22655308,0.29569408,-0.023138085,0.21105361,-0.04073667,0.06746089,-0.25336727,human,oligodendrocytes
Human Oligodendrocytes.1,-1.0418705,1.4578831,-0.2717873,-0.25384223,-0.11152395,-0.14488313,0.10847049,-0.21721329,0.054983936,0.058057763,human,oligodendrocytes
Human Oligodendrocytes.2,-0.9897624,1.5277874,-0.30713704,-0.25745398,-0.112020515,-0.020375876,0.078990236,-0.14620763,0.15334547,0.13564079,human,oligodendrocytes
Human Oligodendrocytes.3,-0.6703179,1.3700199,-0.09761718,-0.27788493,0.12225381,0.24094146,0.1798544,-0.14233197,0.07415001,-0.16975194,human,oligodendrocytes
Human Oligodendrocytes.4,-0.91065395,1.5760399,-0.24663332,-0.07766959,0.006780818,0.10633536,0.074448004,-0.20808433,-0.051113572,-0.023842182,human,oligodendrocytes
Human Microglia/Macrophage,-0.5247292,-0.33034047,-0.67100483,1.3740336,-0.2938388,-0.272436,0.29965535,-0.2664408,-0.20093131,0.0435337,human,microglia
Human Microglia/Macrophage.1,-1.0428249,-0.38081124,-1.211667,1.222804,-0.2957193,-0.10699781,-0.18807442,-0.09251306,-0.15274192,0.15218857,human,microglia
Human Microglia/Macrophage.2,-0.87685263,-0.1273421,-1.1995469,1.6077119,-0.41292405,-0.056377493,-0.34478825,0.3066088,-0.13697931,0.22359361,human,microglia
Human Endothelial,-1.3106157,-0.18423605,-0.36950597,-0.10178103,0.55614954,-0.08740648,-0.2550447,-0.023775034,-0.25049636,0.0074354736,human,endothelial
Human Endothelial.1,-1.0729896,-0.0014805212,-0.07714857,-0.29373989,0.6537214,-0.30078986,-0.19308376,0.15905428,-0.22000268,-0.103285596,human,endothelial
Human whole cortex,0.06606488,0.6113108,1.2402449,0.2765053,0.4426659,0.18152131,-0.07269914,0.080647826,0.1395928,-0.33517912,human,whole brain
Human whole cortex.1,0.14354612,0.5240724,1.4665719,1.0640382,0.24248952,0.18364066,-0.40868476,0.0021255724,0.15440977,0.0535697,human,whole brain
Human whole cortex.2,0.5196888,0.2219913,1.309279,0.30337054,0.26599717,0.024326885,-0.024856383,0.0354448,-0.051193543,-0.18803428,human,whole brain
Human whole cortex.3,0.27695522,0.45666435,1.3704184,0.9647363,0.37722033,0.18461691,-0.36874086,0.0022621634,0.13999547,-0.0060543246,human,whole brain
Mouse astrocytes-FACS,1.5088356,-0.5855025,0.052592173,0.16282783,-0.22031006,-0.27844357,-0.10178389,-0.16900338,0.37931448,0.10972229,mouse,astrocytes
Mouse astrocytes-FACS.1,0.76525176,-0.3526567,1.0599712,1.1076353,-0.067235194,-0.27289057,0.674834,0.11594344,0.017804459,0.10359898,mouse,astrocytes
Mouse astrocytes-immunopanned,1.4581691,0.690383,0.31660935,0.21345827,-0.07347153,-0.16438589,0.16535284,-0.04058201,0.38692856,0.21949907,mouse,astrocytes
Mouse astrocytes-immunopanned.1,1.367594,0.16272908,-0.30231985,0.11816289,0.34599257,-0.07834112,-0.16874413,-0.60573274,0.49524176,0.27978086,mouse,astrocytes
Mouse astrocytes-immunopanned.2,1.4227188,0.43027493,0.72462255,0.5655214,-0.40598562,-0.30280223,0.5935216,0.27266437,0.09395526,-0.24892199,mouse,astrocytes
Mouse astrocytes-immunopanned.3,1.0580989,0.85242397,0.12160981,0.62822723,0.6820442,0.16170554,0.15471105,-0.11303556,-0.05646725,0.6386655,mouse,astrocytes
Mouse neurons,-1.2565318,-0.6317424,0.9055191,-0.18238978,-0.42082536,0.19996254,0.012326812,-0.28430617,0.13838692,-0.30796063,mouse,neurons
Mouse neurons.1,-1.1208823,-0.9379884,0.6467754,-0.22127785,-0.24208954,0.030883253,-0.15559657,-0.45231655,0.25252563,-0.29461598,mouse,neurons
Mouse oligodendrocytes,0.77840143,-0.91363114,-0.716152,0.005208616,-0.21661337,0.5626954,-0.2926595,0.1266986,0.09873193,-0.008452577,mouse,oligodendrocytes
Mouse oligodendrocytes.1,-0.7609696,-0.7992177,-0.36365613,-0.36898705,-0.42099184,0.70983756,-0.15103632,0.30864793,0.2570996,-0.13510728,mouse,oligodendrocytes
Mouse oligodendrocytes.2,-0.6999673,1.742147,0.16172506,-0.1633836,-0.38808948,-0.08906812,-0.01129676,0.24129423,-0.02383644,0.015611881,mouse,oligodendrocytes
Mouse oligodendrocytes.3,-0.73520935,1.6696864,-0.07419486,-0.22700931,-0.2658962,0.13174729,0.0033163612,0.24453408,-0.03580397,0.08838484,mouse,oligodendrocytes
Mouse oligodendrocytes.4,-0.19614534,1.8611354,0.117361374,0.14912967,0.09506609,0.13462043,-0.51584035,0.03858149,-0.2670849,-0.011205582,mouse,oligodendrocytes
