,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,-3720.5833,-2100.068,-817.50446,-829.39667,-538.4618,-385.25052,-532.7009,-280.1681,474.46045,-1109.6688,human,astrocytes
Human GBM / peri-tumor astrocytes.1,-4381.154,-2345.5762,-382.70505,625.57434,-102.2576,-1367.1154,-524.73126,-154.36095,-810.96545,897.9906,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-4374.2065,-2394.9277,-516.2037,253.20242,-128.13074,-1301.3018,-429.4286,54.074875,-64.493996,317.91684,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-4361.862,-2418.6384,-492.7257,-406.91397,-153.36192,-1103.1663,-281.13623,113.04296,524.13165,-55.057377,human,astrocytes
Human sclerotic hippocampi astrocytes,-3534.7263,-2359.6257,-769.5316,-237.11055,2214.7725,928.77856,-924.11926,-74.45365,-226.69061,591.5454,human,astrocytes
Human sclerotic hippocampi astrocytes.1,-3390.1885,-2171.7317,-864.4014,513.57526,-705.28864,631.3722,-543.4444,-690.2559,-368.28714,-153.65363,human,astrocytes
Human sclerotic hippocampi astrocytes.2,-3519.174,-2181.4744,-617.12006,1465.4792,1471.0884,-370.1254,-705.442,69.76594,-1207.5076,566.35364,human,astrocytes
Human sclerotic hippocampi astrocytes.3,-3606.6013,-2405.3367,-699.94934,151.88063,2203.9946,-216.91525,-887.7908,349.24576,-144.33937,371.69427,human,astrocytes
Human fetal astrocytes,-4376.416,-2386.4802,-545.2522,-250.36339,-105.38516,-1590.4784,-221.38907,225.99434,730.71906,-379.0123,human,astrocytes
Human fetal astrocytes.1,-4390.6104,-2417.5193,-544.841,-99.23202,-166.47528,-1462.1643,-236.03842,458.79553,682.9025,723.6615,human,astrocytes
Human fetal astrocytes.2,-4381.6104,-2413.1248,-467.939,21.553438,-89.17476,-1620.6492,-330.28323,281.97208,482.3493,205.0435,human,astrocytes
Human fetal astrocytes.3,-4384.836,-2365.8286,-411.51746,14.364026,-108.1461,-1464.4264,-160.58861,209.68953,388.3025,719.6548,human,astrocytes
Human fetal astrocytes.4,-4376.7866,-2422.6619,-584.49457,-279.21097,-120.508835,-1549.4518,-202.67755,318.5476,845.85364,-269.44397,human,astrocytes
Human fetal astrocytes.5,-4387.225,-2426.676,-586.97986,68.07647,-98.17229,-1577.7887,-380.0791,294.1498,381.6035,256.3983,human,astrocytes
Human mature astrocytes,-4299.258,-1818.1461,-927.53705,-1253.0884,-940.23285,1205.7407,-243.32237,-865.65393,-85.624954,-109.89658,human,astrocytes
Human mature astrocytes.1,-4249.171,-2347.8772,-1089.2571,-1715.4,-1400.7638,2358.8955,-460.81738,-1652.0968,414.53702,95.68399,human,astrocytes
Human mature astrocytes.2,-4320.26,-2122.986,-1048.2607,-1370.86,-1159.6222,1686.6545,-382.82574,-936.79236,456.4785,436.31323,human,astrocytes
Human mature astrocytes.3,-4274.531,-2274.1863,-1161.4657,-1481.7136,-1221.5568,1986.0237,-598.4718,-1269.6687,478.56744,351.26395,human,astrocytes
Human mature astrocytes.4,-4176.622,-1732.0001,-894.2725,-1029.6448,-1061.6896,1604.1125,-522.3337,-1373.9384,-910.05164,-216.22244,human,astrocytes
Human mature astrocytes.5,-4367.745,-2199.6106,-1129.5282,-1680.4089,-1441.0967,2565.4539,-387.84427,-1343.9309,397.28644,629.6049,human,astrocytes
Human mature astrocytes.6,-4137.1274,-2190.039,-867.9376,-347.15445,-674.89276,487.12137,-725.0358,-648.76385,-670.6401,-243.45045,human,astrocytes
Human mature astrocytes.7,-4225.3154,-2239.27,-784.48456,-628.56384,-742.90027,751.7701,-431.98834,-750.03973,-468.27136,-216.49092,human,astrocytes
