,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,-9.637408,-91.28224,-79.63656,-36.94066,24.541178,-26.791067,7.010227,14.351576,2.306386,-0.22620583,human,astrocytes
Human GBM / peri-tumor astrocytes.1,-107.163086,-92.65777,45.20173,-24.593004,-39.37607,-16.555252,-21.86717,11.993375,18.55802,-12.106892,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-65.82244,-117.617134,4.378764,-28.93802,-29.293156,-9.553373,-11.651054,6.980569,6.959943,-5.3231316,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-49.297848,-127.97497,-6.4663725,-19.629112,4.5059204,-14.486378,-19.660824,7.6099997,4.7269835,2.2476873,human,astrocytes
Human sclerotic hippocampi astrocytes,64.99031,-59.872658,-31.9632,-1.0143423,-17.643736,14.94889,-21.352612,-36.32361,-15.932188,6.6543655,human,astrocytes
Human sclerotic hippocampi astrocytes.1,-13.538116,-57.538265,-54.354225,-30.994148,10.2894335,2.4620333,-13.999941,-12.950128,-4.1576967,5.71778,human,astrocytes
Human sclerotic hippocampi astrocytes.2,34.99352,-33.951912,14.58758,-25.20382,-62.944637,8.04659,-22.701948,-25.775393,0.8021585,9.02785,human,astrocytes
Human sclerotic hippocampi astrocytes.3,78.94118,-72.49229,-8.378527,-15.128517,-38.912357,-1.0569859,-10.751438,-27.723509,-12.177994,8.112581,human,astrocytes
Human fetal astrocytes,-18.949568,-134.87405,12.0836525,-20.419567,-33.729378,-52.875755,29.971256,19.232817,-1.2261641,-8.326429,human,astrocytes
Human fetal astrocytes.1,-42.63783,-132.0868,25.284819,-13.131211,-27.284306,-51.427605,20.2459,4.384171,-3.9511487,-12.23597,human,astrocytes
Human fetal astrocytes.2,-29.356213,-111.99485,20.675114,-28.89639,-34.024128,-49.556805,21.374645,3.951148,-1.7075005,-5.3578486,human,astrocytes
Human fetal astrocytes.3,-56.14927,-113.79646,33.42631,-3.5197325,-38.6598,-44.76132,16.646929,-0.8177488,-0.9020661,-12.617432,human,astrocytes
Human fetal astrocytes.4,-12.150717,-135.75839,6.3141193,-22.997839,-28.779362,-50.15045,28.476707,15.677305,-3.4342055,-6.674112,human,astrocytes
Human fetal astrocytes.5,-36.439587,-118.2394,17.391666,-24.038128,-36.600906,-40.29342,22.234304,6.0948935,-2.4190924,-8.519764,human,astrocytes
Human mature astrocytes,-53.999153,-91.80885,-87.05494,7.2410173,34.447536,7.467886,-20.260607,2.252625,-0.8966742,-10.527496,human,astrocytes
Human mature astrocytes.1,-35.226936,-99.25006,-104.82212,11.418335,47.595005,6.288283,-18.916292,-4.6659584,-7.9001064,-9.333136,human,astrocytes
Human mature astrocytes.2,-41.123093,-94.481476,-92.469696,5.999606,43.551315,5.2367897,-15.174178,-7.034047,-8.565683,-7.8955092,human,astrocytes
Human mature astrocytes.3,-25.331402,-96.067566,-99.62444,5.283844,46.729683,-1.6528292,-13.205065,-6.079034,-9.8937,-5.9817142,human,astrocytes
