,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,-1118.6737,-119.832664,-292.16138,-771.9205,-728.7224,-225.10037,-407.08398,-403.16898,303.25464,-471.044,human,astrocytes
Human GBM / peri-tumor astrocytes.1,249.22726,969.0393,-681.64,2396.052,168.61375,332.3726,-885.89777,-1202.9904,-638.97595,190.08972,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-105.632805,800.1256,-917.3849,1076.2714,201.12337,611.0478,-692.0238,-517.8886,-297.6294,-100.57048,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-738.1517,518.75476,-1039.4679,125.53046,599.6701,65.38287,-766.0261,-130.3978,-432.3931,-331.16003,human,astrocytes
Human sclerotic hippocampi astrocytes,-584.8614,1176.4648,2134.232,-586.50836,1620.5192,150.43692,-306.67142,139.06708,25.324636,-164.42685,human,astrocytes
Human sclerotic hippocampi astrocytes.1,285.56537,-588.5103,955.09436,57.854916,-538.6119,-324.06433,231.38843,49.877872,249.729,264.44745,human,astrocytes
Human sclerotic hippocampi astrocytes.2,1103.1515,1852.5731,1437.6394,215.455,825.0364,188.43066,-873.4051,171.41647,1099.0546,496.47308,human,astrocytes
Human sclerotic hippocampi astrocytes.3,-253.5388,1986.8761,1223.2948,-617.13495,1473.2102,318.7821,-566.4967,300.04327,231.6174,-75.96787,human,astrocytes
Human fetal astrocytes,-606.9839,803.5952,-1519.833,-88.69143,344.124,-478.52792,166.75862,148.6444,357.18924,-317.39633,human,astrocytes
Human fetal astrocytes.1,-423.52106,797.92596,-1399.2137,540.7683,766.78766,-653.96173,1011.8328,-16.724669,-16.132006,39.48213,human,astrocytes
Human fetal astrocytes.2,-343.54584,956.32,-1364.4135,364.56702,311.14478,-591.9183,652.54895,22.43158,53.479874,-8.377998,human,astrocytes
Human fetal astrocytes.3,-315.201,821.02966,-1227.824,747.5215,738.5239,-593.218,738.2567,-78.87349,-167.42299,38.49993,human,astrocytes
Human fetal astrocytes.4,-624.7254,772.49664,-1541.4863,-150.58359,407.01404,-340.637,222.93687,125.00902,336.34305,-259.1364,human,astrocytes
Human fetal astrocytes.5,-294.85516,950.75275,-1276.2961,452.06802,302.46387,-316.74915,546.13916,-54.309013,54.650795,-63.478127,human,astrocytes
Human mature astrocytes,-1379.3597,-1672.7184,714.9711,345.62827,9.649011,-224.61673,-326.66846,-316.71744,618.21405,-352.43497,human,astrocytes
Human mature astrocytes.1,-1858.3295,-2909.2705,1396.1935,-256.8134,76.69879,99.211525,172.24344,-105.98933,-157.62526,-31.162613,human,astrocytes
Human mature astrocytes.2,-1504.7593,-2164.559,891.9985,-41.16649,326.71915,143.84538,220.68054,-226.63495,63.519016,48.903084,human,astrocytes
Human mature astrocytes.3,-1647.3774,-2440.6035,1174.4523,-175.89801,247.09944,302.561,312.4653,-586.0762,46.28853,284.7183,human,astrocytes
Human mature astrocytes.4,-1175.2734,-1892.8787,1422.9808,886.91864,-657.06903,-509.81055,-439.93655,411.022,-9.769783,-373.3651,human,astrocytes
Human mature astrocytes.5,-1767.7499,-3004.5288,1488.272,-57.84192,460.00833,273.84827,421.4736,-431.7517,-51.927464,189.10843,human,astrocytes
Human mature astrocytes.6,-600.6039,-664.8545,675.33344,564.49646,-635.5465,-0.41249666,-99.21167,123.26389,208.87305,41.438522,human,astrocytes
Human mature astrocytes.7,-837.94305,-1039.7509,618.7014,516.381,-483.24066,-88.33579,-535.9832,1318.8503,-943.2838,-415.3737,human,astrocytes
