,0,1,2,3,4,5,6,7,8,9,batch,celltype
Human GBM / peri-tumor astrocytes,-3804.667,-731.5917,-1935.3286,-931.7974,-391.69775,-557.56024,-569.303,87.09897,-883.0794,-1210.4866,human,astrocytes
Human GBM / peri-tumor astrocytes.1,-4976.5874,-1909.212,435.96198,489.82336,14.669298,-1436.2389,-682.16864,-552.311,861.60614,789.65216,human,astrocytes
Human GBM / peri-tumor astrocytes.2,-5151.615,-2715.289,-212.41412,-66.58184,100.69316,-1681.4957,-551.5538,4.5629663,-21.098494,147.37585,human,astrocytes
Human GBM / peri-tumor astrocytes.3,-5522.124,-3181.4163,-341.19766,-738.3325,52.403923,-1178.8713,-227.28397,146.29521,-442.875,56.27701,human,astrocytes
Human sclerotic hippocampi astrocytes,-2652.424,-3159.553,-834.78754,434.2376,2185.7822,1271.9398,-879.57245,-97.39094,43.696693,302.57675,human,astrocytes
Human sclerotic hippocampi astrocytes.1,-2059.6409,-1162.6259,-716.6356,987.7148,-852.314,700.7313,-637.067,-685.4147,46.912952,-326.0284,human,astrocytes
Human sclerotic hippocampi astrocytes.2,-3142.166,-2224.2,21.201649,1705.3821,1590.6558,-642.16675,-964.9546,-154.84341,909.0022,-44.01701,human,astrocytes
Human sclerotic hippocampi astrocytes.3,-1881.691,-3207.6733,-775.32697,518.1104,2401.703,-80.11418,-970.08514,338.80792,39.278442,106.71817,human,astrocytes
Human fetal astrocytes,-5566.8237,-2888.9963,-670.1664,-671.9399,251.43158,-1933.0448,-211.8659,364.04416,-714.53766,-227.50186,human,astrocytes
Human fetal astrocytes.1,-5649.0474,-2591.9692,-441.6403,-246.11734,32.909477,-1570.0037,-271.48145,402.55746,-366.41537,1020.36914,human,astrocytes
Human fetal astrocytes.2,-5387.5034,-2631.556,-238.5879,-312.68362,217.11441,-1900.6045,-411.0103,282.4987,-374.96872,385.52786,human,astrocytes
Human fetal astrocytes.3,-5468.719,-2449.565,-182.80647,-158.48521,107.41649,-1645.9207,-234.7383,105.40922,-185.726,901.93616,human,astrocytes
Human fetal astrocytes.4,-5725.312,-3024.6719,-789.805,-677.21826,222.95258,-1897.3405,-209.4081,482.61023,-808.0663,-113.1908,human,astrocytes
Human fetal astrocytes.5,-5628.0586,-2703.4993,-205.84674,-159.91187,149.69586,-1733.6697,-449.35767,210.50732,-185.10368,505.42792,human,astrocytes
Human mature astrocytes,-5267.287,-1232.2462,-1466.872,-731.2962,-1091.55,1413.6403,-34.588654,-834.9547,-105.79677,-217.58847,human,astrocytes
Human mature astrocytes.1,-3531.527,-2299.377,-1757.9744,-843.5871,-1655.9834,2735.2175,-70.87901,-1460.5038,-754.4952,43.7805,human,astrocytes
Human mature astrocytes.2,-5178.457,143.06471,-1252.0361,-587.24133,-1474.1101,2294.4082,19.724237,-943.6722,-326.5782,663.0288,human,astrocytes
Human mature astrocytes.3,-3768.126,-840.37823,-1715.4744,-652.7781,-1451.2258,2424.479,-250.80229,-1119.2656,-652.0493,372.558,human,astrocytes
Human mature astrocytes.4,-4815.372,-945.3844,-1031.7191,-329.51785,-1318.4988,1942.0155,-326.78693,-1547.543,562.9507,-390.28192,human,astrocytes
Human mature astrocytes.5,-4141.8477,-1159.6991,-1515.4004,-679.85803,-1831.558,3083.4583,51.787186,-1268.4463,-473.98016,674.7408,human,astrocytes
Human mature astrocytes.6,-4318.2095,114.48699,-867.1087,87.15582,-839.11896,848.6498,-681.95685,-811.7196,526.4625,-304.82562,human,astrocytes
Human mature astrocytes.7,-4921.141,-930.068,-948.3972,-230.70929,-899.7079,972.9588,-331.43933,-823.3768,270.3088,-294.4256,human,astrocytes
Human mature astrocytes.8,-4098.6934,-2406.844,-1902.7916,-680.5455,-1255.1196,1760.849,-303.47867,-641.5279,-853.46063,314.25565,human,astrocytes
Human mature astrocytes.9,-5008.533,-2099.877,-1601.6937,-646.16284,-1140.66,1123.5928,-296.08432,-362.80624,-821.04144,164.0427,human,astrocytes
Human mature astrocytes.10,-4665.114,-1823.9698,-1570.4341,-488.0401,-898.27814,1208.0194,-470.9391,-1036.6128,39.398296,-600.0656,human,astrocytes
Human mature astrocytes.11,-4814.2563,-1417.0828,-1322.8916,-376.6936,-793.30725,998.39716,-654.3572,-872.8803,35.920013,-479.6579,human,astrocytes
Human Neurons,-5227.389,-3107.7144,-546.947,-300.5396,32.514214,-1260.6632,-168.529,65.60284,-282.51782,217.19481,human,neurons
Human Oligodendrocytes,2752.0955,-1437.4347,875.3143,2715.7803,750.2221,-384.67505,-1667.0919,-513.4158,1849.1954,422.56436,human,oligodendrocytes
Human Oligodendrocytes.1,330.15906,-2707.853,43.462906,1338.5057,2545.4653,-199.96729,-1861.0142,-25.593359,1298.9944,142.17496,human,oligodendrocytes
Human Oligodendrocytes.2,2581.375,-2241.9048,693.6042,2452.8943,3533.9126,592.9179,-2201.83,-282.93002,1922.4757,551.1464,human,oligodendrocytes
Human Oligodendrocytes.3,-716.3728,-2724.571,-582.0861,859.5625,715.19525,-1135.057,-1464.4224,65.70924,658.7919,-295.29947,human,oligodendrocytes
