cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,-53.77126,-93.7933,23.399746,8.169671,0.7352568,-15.982396,-4.897656,8.693768,4.1541333,11.230771,batch2,2i
ola_mES_2i_2_10.counts,-44.36364,-96.81219,24.139816,24.835207,-10.238834,-22.387339,1.3842269,20.614027,2.8347466,-16.248743,batch2,2i
ola_mES_2i_2_11.counts,-27.791887,-101.47982,13.239504,32.881084,-8.332297,-33.872528,19.411964,28.863716,-4.443549,-14.078584,batch2,2i
ola_mES_2i_2_12.counts,-23.712767,-93.22975,12.647745,33.5371,-14.39353,-27.600338,1.8474808,-4.1882443,16.995876,-7.281717,batch2,2i
ola_mES_2i_2_13.counts,-28.628061,-88.69785,28.831648,23.065899,-15.1781645,-14.261396,-14.868967,-6.789582,40.879475,7.622535,batch2,2i
ola_mES_2i_2_14.counts,-42.707115,-90.290535,33.87448,32.96109,-21.78045,-8.193185,-4.717838,-0.5780725,-5.7819896,0.84181875,batch2,2i
ola_mES_2i_2_15.counts,38.365414,-76.718025,-8.53551,46.978462,-11.915421,13.467426,-14.620112,47.77006,14.008469,-18.153751,batch2,2i
ola_mES_2i_2_16.counts,-57.23765,-96.71467,42.219105,19.744461,-11.982545,-10.8452015,11.615304,16.65453,-8.118194,-16.66453,batch2,2i
ola_mES_2i_2_17.counts,-37.1743,-88.46755,30.619518,25.214415,-9.745695,-1.043841,-21.014023,-12.816439,-10.322128,12.9898405,batch2,2i
ola_mES_2i_2_18.counts,45.344864,-73.02541,-54.689213,50.053238,9.231603,-54.256527,39.906616,-11.328593,-0.7610442,9.440386,batch2,2i
ola_mES_2i_2_19.counts,-3.5296798,-83.538605,14.623566,32.544968,-25.948282,-7.969959,-3.1400096,22.530865,-14.096626,4.302149,batch2,2i
ola_mES_2i_2_2.counts,-37.231556,-91.51016,24.052101,28.788382,-7.655159,-1.2444092,-4.9460907,14.172872,-13.840486,-5.0580688,batch2,2i
ola_mES_2i_2_20.counts,-58.05553,-85.21598,33.89717,12.147114,7.395293,4.8133607,-11.13955,0.98878306,-17.26592,19.329157,batch2,2i
ola_mES_2i_2_21.counts,-1.2334594,-95.0008,12.433457,34.7719,6.2251506,-12.749489,3.1976326,17.565197,16.769773,-20.484766,batch2,2i
