cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,-23.570332,-83.527084,10.564523,-1.3502425,2.1885185,4.4337606,13.14603,-2.6248078,-11.395676,13.220918,batch2,2i
ola_mES_2i_2_10.counts,-31.77715,-79.57406,21.901482,-10.586253,17.132896,17.742348,-21.921349,-14.687906,-6.5627747,-3.4340954,batch2,2i
ola_mES_2i_2_11.counts,-45.818283,-72.8076,12.517349,-5.0407724,39.51336,32.335545,-21.10947,-3.7947955,-9.109546,8.951224,batch2,2i
ola_mES_2i_2_12.counts,-44.834312,-62.923492,20.37547,-12.286465,32.850544,-1.1138859,-3.2180657,-23.403131,-5.742816,-14.295049,batch2,2i
ola_mES_2i_2_13.counts,-37.39848,-67.88187,28.567226,-15.38584,5.531023,-9.746032,17.379053,-38.919155,7.9833326,4.095337,batch2,2i
ola_mES_2i_2_14.counts,-29.115835,-77.89448,40.2795,-19.836395,9.499841,2.8312364,1.1139686,-0.035443615,-4.2572455,-9.406908,batch2,2i
ola_mES_2i_2_15.counts,-78.52149,-4.169342,24.170109,-5.08943,-16.370518,36.773453,-8.66956,-8.932637,-14.964097,37.89435,batch2,2i
ola_mES_2i_2_16.counts,-21.607252,-96.79854,31.840757,-9.578979,12.227265,22.21378,-21.042921,-5.2289095,-7.9166307,-14.584461,batch2,2i
ola_mES_2i_2_17.counts,-32.688667,-71.18863,35.79582,-13.15323,-5.87791,-15.648041,11.574149,10.37183,-3.8037472,-12.10564,batch2,2i
ola_mES_2i_2_18.counts,-86.09906,26.416943,-17.205456,14.026953,80.69417,7.0190034,12.509821,1.4786458,2.5845485,26.763338,batch2,2i
ola_mES_2i_2_19.counts,-51.275013,-47.95946,26.458792,-23.858076,8.526098,25.189135,-5.6295156,15.155842,20.551025,14.072546,batch2,2i
ola_mES_2i_2_2.counts,-34.44697,-69.944084,29.917131,-7.0822525,-1.1485959,10.608342,-5.56809,13.772422,-17.044985,7.7729826,batch2,2i
ola_mES_2i_2_20.counts,-13.841158,-83.8548,22.39655,5.095974,-10.620012,-1.788139,9.620127,18.383448,-6.9703245,-19.671776,batch2,2i
ola_mES_2i_2_21.counts,-59.714172,-53.80873,17.785614,13.240347,17.580933,15.554135,-15.659677,-23.35709,-5.280624,17.609177,batch2,2i
ola_mES_2i_2_22.counts,-21.680422,-96.19002,33.605255,-19.33296,9.670729,15.658391,-14.349791,-6.18288,-5.8231673,-3.778961,batch2,2i
ola_mES_2i_2_23.counts,-40.630676,-63.9261,44.26736,-19.532917,28.008993,-35.84323,14.392565,-8.236268,-9.759023,-7.7937546,batch2,2i
ola_mES_2i_2_24.counts,-35.47544,-64.39001,17.931128,-10.656742,29.166838,-11.063064,18.852293,-13.189149,-2.5139837,12.253474,batch2,2i
ola_mES_2i_2_25.counts,-32.908188,-95.73222,36.13544,-15.571886,2.570347,27.098566,-26.080801,-11.593296,-4.7793946,-11.601808,batch2,2i
ola_mES_2i_2_26.counts,-60.36181,-35.769527,12.51889,-11.58219,14.513729,17.153658,-16.71406,0.17393243,-24.085396,-1.3476068,batch2,2i
ola_mES_2i_2_27.counts,-34.85458,-84.80023,30.196785,-9.372806,-0.6345214,30.964203,-10.295194,-14.078499,-13.487022,-0.16745043,batch2,2i
ola_mES_2i_2_28.counts,-47.708214,-30.472616,78.61303,-27.778772,-22.537287,-12.2305565,-29.858723,52.201252,-17.935583,-25.599972,batch2,2i
ola_mES_2i_2_29.counts,-38.93359,-68.69347,36.522995,-13.673475,12.296502,8.037561,-15.577865,-26.020063,-0.5991541,9.558912,batch2,2i
ola_mES_2i_2_3.counts,-30.054102,-97.888535,29.009054,-12.714593,1.3480126,27.709553,-3.196927,-13.161412,-7.4323688,-7.8469257,batch2,2i
