cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,-32.85554,-72.40497,6.8303313,3.2504687,-18.39564,-3.281665,9.849423,-2.5378485,6.5244484,10.344395,batch2,2i
ola_mES_2i_2_10.counts,-41.86518,-66.07495,19.46323,-4.1340013,-31.803722,3.8027933,19.108774,-4.300116,-17.537806,-6.92266,batch2,2i
ola_mES_2i_2_11.counts,-57.278305,-52.852665,18.372168,-0.023153288,-45.557453,22.419952,24.336588,1.0976926,-16.60657,-9.586627,batch2,2i
ola_mES_2i_2_12.counts,-54.380688,-44.469707,21.966024,-6.4038954,-39.310867,0.75235164,-4.993626,-16.37682,-6.759079,-0.16945933,batch2,2i
ola_mES_2i_2_13.counts,-47.088825,-54.14598,28.012972,-10.783169,-19.461927,-15.585017,-3.8682952,-37.173386,12.088797,11.20698,batch2,2i
ola_mES_2i_2_14.counts,-38.32883,-63.737152,35.15672,-15.144539,-21.81509,-2.7841368,0.40081134,9.843419,-6.321845,15.152171,batch2,2i
ola_mES_2i_2_15.counts,-87.43178,16.614985,35.122513,-4.016022,-3.8624132,-6.2400694,47.685577,-10.706163,-31.35969,35.400024,batch2,2i
ola_mES_2i_2_16.counts,-32.108322,-83.25809,27.288141,-7.879081,-18.286524,13.617593,13.73057,5.7725706,-18.332653,-11.34008,batch2,2i
ola_mES_2i_2_17.counts,-40.90672,-59.182583,29.275835,-5.274655,-10.068437,-20.110731,-8.311925,16.570854,4.5334554,23.624006,batch2,2i
ola_mES_2i_2_18.counts,-90.873566,43.332226,-0.61779535,22.07157,-68.35156,36.247925,-17.31301,-0.024308382,5.674259,10.366031,batch2,2i
ola_mES_2i_2_19.counts,-61.73208,-27.003325,31.269146,-19.656775,-19.602303,1.7338196,23.05417,16.508007,-3.047325,20.933325,batch2,2i
ola_mES_2i_2_2.counts,-43.28189,-57.085403,25.98486,-1.9982021,-13.805466,-0.9780934,14.407576,16.536676,-15.06735,13.021809,batch2,2i
ola_mES_2i_2_20.counts,-23.560648,-73.59471,18.779566,8.999039,1.1886153,-8.523241,3.8989332,20.647333,10.97355,6.3857546,batch2,2i
ola_mES_2i_2_21.counts,-71.46976,-32.14495,26.766966,12.787483,-21.44444,4.8215437,15.521837,-17.835072,-20.320286,4.023473,batch2,2i
ola_mES_2i_2_22.counts,-32.00205,-83.625084,28.321571,-16.243324,-16.94694,6.9069166,9.554247,1.3623357,-9.353737,-10.724073,batch2,2i
ola_mES_2i_2_23.counts,-49.411556,-50.83629,40.777344,-9.254198,-41.077915,-20.700336,-28.998604,-5.9401493,11.712624,3.6152484,batch2,2i
ola_mES_2i_2_24.counts,-44.403404,-49.950836,16.739088,-0.8345294,-36.93154,-0.16486269,-15.805143,-15.797462,12.907709,8.32196,batch2,2i
ola_mES_2i_2_25.counts,-43.147537,-84.10685,30.293926,-10.009186,-19.65142,1.3301764,31.054945,1.2774739,-17.94974,-7.695401,batch2,2i
ola_mES_2i_2_26.counts,-68.667114,-14.723424,14.578143,0.72730213,-34.698185,-2.8551204,28.39254,1.6648413,-18.105854,-5.3028636,batch2,2i
ola_mES_2i_2_27.counts,-44.266506,-73.90512,24.213816,-3.3318393,-18.135895,5.939113,35.654297,-6.3494706,-10.167339,0.37274435,batch2,2i
ola_mES_2i_2_28.counts,-51.843056,-19.222275,74.339676,-8.744045,-3.0302124,-47.543118,5.3271627,60.116543,-25.40653,10.6161585,batch2,2i
