cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,-41.48255,-76.49143,-12.587449,16.644897,-1.7880578,-12.707927,5.028521,2.8028975,-5.9925857,8.155608,batch2,2i
ola_mES_2i_2_10.counts,-49.666645,-69.946304,-11.86394,30.369762,-11.657147,-24.464163,13.336631,21.150364,-13.749791,-7.221027,batch2,2i
ola_mES_2i_2_11.counts,-64.32879,-56.722977,-11.786822,29.031118,-10.190348,-40.49723,30.662971,20.678362,-4.623163,-11.5247755,batch2,2i
ola_mES_2i_2_12.counts,-60.967495,-48.435463,-15.75452,32.512535,-13.256374,-36.15442,-1.7461381,2.644049,-14.947163,9.890772,batch2,2i
ola_mES_2i_2_13.counts,-56.20886,-56.909706,-23.53621,41.867886,-15.156367,-12.830013,-8.348448,-6.0828223,-21.96081,33.19213,batch2,2i
ola_mES_2i_2_14.counts,-44.91946,-67.38388,-6.0470204,41.14125,-23.511227,-13.333495,-5.999563,3.8921778,4.9729533,3.413548,batch2,2i
ola_mES_2i_2_15.counts,-91.920204,14.22378,-6.5271344,40.38948,-10.921033,1.6391326,10.5497055,54.869595,-5.9332843,14.322097,batch2,2i
ola_mES_2i_2_16.counts,-40.729652,-87.139366,-6.785668,35.650803,-15.217827,-9.676961,16.823902,12.267197,-5.4426827,-16.833279,batch2,2i
ola_mES_2i_2_17.counts,-48.3835,-62.717873,-16.197153,40.714504,-9.7942505,-4.931509,-22.319263,-2.1817863,16.700933,8.270146,batch2,2i
ola_mES_2i_2_18.counts,-93.62944,38.74323,-13.611275,8.625472,11.969663,-79.86963,24.461452,-21.35804,2.424924,2.6452312,batch2,2i
ola_mES_2i_2_19.counts,-68.14806,-29.716831,-13.4850445,39.456593,-24.305653,-11.436713,10.90506,20.282001,25.647827,2.8724627,batch2,2i
ola_mES_2i_2_2.counts,-50.251183,-61.098545,-12.229816,36.528397,-7.8280363,-8.422956,1.9416561,17.1057,9.227247,-5.9211507,batch2,2i
ola_mES_2i_2_20.counts,-32.743824,-77.193565,-16.090256,30.745905,5.0135837,7.369478,-5.8284388,-2.4780374,16.836597,-0.4301956,batch2,2i
ola_mES_2i_2_21.counts,-78.44925,-34.51151,-12.362041,38.973892,5.5907493,-18.822216,12.270759,17.990452,-19.895761,0.06604785,batch2,2i
ola_mES_2i_2_22.counts,-41.130486,-87.33385,-4.589146,34.017776,-24.368286,-5.0800285,12.276477,4.8417974,-10.49393,-13.10797,batch2,2i
ola_mES_2i_2_23.counts,-57.088398,-53.598125,-9.30159,50.67031,-20.636204,-32.39764,-26.19589,-26.594896,-11.006637,7.6345587,batch2,2i
ola_mES_2i_2_24.counts,-52.37093,-54.195637,-21.30842,31.547905,-7.153179,-34.657574,-3.0902631,-18.675596,-10.586371,15.797249,batch2,2i
ola_mES_2i_2_25.counts,-52.595463,-87.60102,-2.9769297,36.717026,-20.085758,-6.2484136,13.443439,28.232914,-7.7237844,-9.461709,batch2,2i
ola_mES_2i_2_26.counts,-75.30274,-18.529959,-14.359795,24.693441,-7.9219074,-29.75209,9.079824,32.15952,-4.468674,-9.390388,batch2,2i
ola_mES_2i_2_27.counts,-53.80994,-77.46626,-4.173235,32.536076,-13.670816,-5.456975,21.442638,27.942442,-12.151901,0.7451569,batch2,2i
ola_mES_2i_2_28.counts,-58.571346,-20.416805,1.1539629,78.334724,-21.907562,11.012718,-48.362896,24.44006,43.846,-37.90139,batch2,2i
ola_mES_2i_2_29.counts,-56.088455,-56.96042,-16.288364,45.759037,-14.385924,-19.541315,3.6193051,18.297585,-19.560213,3.5895705,batch2,2i
ola_mES_2i_2_3.counts,-48.988308,-89.60584,2.811284,26.643217,-20.153616,-5.8874006,17.88206,18.870224,-12.493787,4.73033,batch2,2i
ola_mES_2i_2_30.counts,-57.77379,-26.986729,-18.72907,26.183104,1.2289579,-48.384968,-6.170612,-27.77775,4.9139185,-0.0885971,batch2,2i
ola_mES_2i_2_31.counts,-62.113636,-63.823235,-11.60488,44.862507,-24.291574,-46.362095,17.725563,-2.0927925,-8.517459,-4.8092217,batch2,2i
ola_mES_2i_2_32.counts,-50.47843,-86.10938,-5.6995153,34.765198,-19.543888,5.0101814,7.6883664,21.777473,-8.950057,8.108806,batch2,2i
ola_mES_2i_2_33.counts,-77.989426,-16.027771,-19.03776,27.128365,-11.405908,-67.82654,30.66355,-17.847359,-5.3626018,-2.3822625,batch2,2i
ola_mES_2i_2_34.counts,-59.86073,-56.82961,-16.534864,32.40275,-5.58008,-29.471039,-5.0787764,-6.8084707,-2.7012987,13.49469,batch2,2i
ola_mES_2i_2_35.counts,-63.385654,-52.510674,-16.493279,33.65463,-10.534265,-20.6785,2.0820081,28.090902,0.8943916,-10.60475,batch2,2i
ola_mES_2i_2_36.counts,-72.16216,-41.748978,-17.497793,37.37805,-11.335645,4.076853,19.674042,38.279285,-20.918339,-8.244056,batch2,2i
ola_mES_2i_2_37.counts,-40.796425,-60.874035,-15.426702,47.72554,-19.963524,-3.1885777,-24.81145,4.0518003,31.815096,5.673269,batch2,2i
ola_mES_2i_2_38.counts,-46.301384,-61.720573,-11.728527,59.57216,-20.079586,-23.6919,-35.79951,-17.94024,9.871737,3.8906415,batch2,2i
ola_mES_2i_2_39.counts,-54.71835,-69.427,-25.68227,28.554579,-11.470084,-15.830067,-11.422072,-0.711577,-1.8361802,30.781961,batch2,2i
ola_mES_2i_2_4.counts,-93.941315,21.827545,-6.4641147,31.105017,5.4681325,-51.99635,17.840313,36.793175,-1.8742895,-37.576866,batch2,2i
ola_mES_2i_2_40.counts,-87.38451,-4.5077295,-14.035751,31.061604,7.3197684,-44.456696,-4.233419,3.2169683,-1.8834027,-15.037495,batch2,2i
ola_mES_2i_2_41.counts,-67.4539,-42.629208,-18.856606,28.758121,-10.882383,-17.29532,4.5855875,17.96451,-25.839918,36.821037,batch2,2i
ola_mES_2i_2_42.counts,-80.01626,17.190296,-18.686195,27.28247,-1.7657014,-46.092213,-20.535234,-2.9741273,-21.335955,41.459637,batch2,2i
ola_mES_2i_2_43.counts,-70.46583,-54.886406,-13.578812,30.952581,-6.87472,-40.234787,11.774279,13.276545,13.5648365,-3.6830578,batch2,2i
ola_mES_2i_2_44.counts,-63.78237,-41.95097,-17.288746,29.578537,-10.664888,-28.879406,21.038748,18.272177,-13.672847,11.760369,batch2,2i
ola_mES_2i_2_46.counts,-56.748707,-61.237617,-20.966398,42.694183,-12.305184,-28.111853,-21.449547,-2.6456866,13.645565,13.674734,batch2,2i
