cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,-0.40642413,-0.29926056,-0.16977464,0.02573232,0.08509798,0.030528406,-0.0009615149,-0.0475983,0.009404497,0.04998464,batch2,2i
ola_mES_2i_2_10.counts,-0.39964762,-0.21575448,-0.21298666,0.029532295,0.10896719,0.01721881,-0.031599823,-0.05786633,-0.03723993,0.023051897,batch2,2i
ola_mES_2i_2_11.counts,-0.40544254,-0.14307913,-0.15372452,0.01847124,0.18150318,-0.007291765,-0.09170474,-0.056418635,-0.051292226,0.040963475,batch2,2i
ola_mES_2i_2_12.counts,-0.3708411,-0.017034447,-0.13750021,0.0664084,0.13328645,-0.03803797,0.009629547,-0.08220173,-0.010558159,0.0126984585,batch2,2i
ola_mES_2i_2_13.counts,-0.3415849,-0.0065224506,-0.22192907,0.08789167,0.061714772,0.020816172,0.03139193,-0.09825759,0.049323156,-0.019916965,batch2,2i
ola_mES_2i_2_14.counts,-0.30479553,-0.09198469,-0.30916888,0.08296225,0.045985907,-0.04365616,0.007790522,-0.0697069,-0.018704338,-0.05299836,batch2,2i
ola_mES_2i_2_15.counts,-0.3075165,0.42720696,0.0424965,0.17506707,0.02019706,0.12097796,-0.055557217,-0.08620572,-1.1883662e-05,0.01608535,batch2,2i
ola_mES_2i_2_16.counts,-0.34651095,-0.2097233,-0.32949528,0.06426977,0.038106926,-0.044661738,-0.034272913,-0.05846778,-0.06253543,-0.042989753,batch2,2i
ola_mES_2i_2_17.counts,-0.32854012,-0.06018726,-0.27083787,0.08556609,0.02842537,-0.05918284,0.0061093173,-0.103063494,0.016589448,-0.029653208,batch2,2i
ola_mES_2i_2_18.counts,-0.2870004,0.324389,0.25478822,0.10825748,0.20003761,-0.045059532,0.00020995064,-0.029278897,-0.025012748,0.072794735,batch2,2i
ola_mES_2i_2_19.counts,-0.34573153,0.07261252,-0.11613615,0.09460443,0.09238236,0.09798145,0.003701222,-0.062147148,-0.06436683,0.02286744,batch2,2i
ola_mES_2i_2_2.counts,-0.36064467,-0.11347692,-0.24383171,0.055606764,0.06231824,-0.0022611201,-0.07194615,-0.08238777,-0.02578931,-0.008235833,batch2,2i
ola_mES_2i_2_20.counts,-0.30315056,-0.18409345,-0.30879655,0.08779657,-0.025961496,-0.0656704,-0.013568464,-0.06935933,-0.028021319,-0.059091385,batch2,2i
ola_mES_2i_2_21.counts,-0.37501377,0.11743987,-0.115365535,0.10307093,0.065486565,-0.019535491,-0.069660604,-0.086876325,0.024973156,0.0005150668,batch2,2i
ola_mES_2i_2_22.counts,-0.34530315,-0.21340422,-0.35286847,0.051602695,0.08068904,-0.013169332,-0.0053671356,-0.07677093,-0.045093343,-0.051904872,batch2,2i
ola_mES_2i_2_23.counts,-0.27970052,0.10196552,-0.2383503,0.12182032,0.06654574,-0.093706734,0.09654117,-0.07529044,0.022674905,-0.058663886,batch2,2i
ola_mES_2i_2_24.counts,-0.36895153,-0.116854675,-0.16325668,0.031824186,0.15608221,-0.022173168,0.046612613,-0.086891666,0.04103758,0.024178036,batch2,2i
ola_mES_2i_2_25.counts,-0.41462097,-0.22744146,-0.32112563,0.028150223,0.10056538,-0.00060539204,-0.07432928,-0.09077996,-0.029550033,-0.008570022,batch2,2i
ola_mES_2i_2_26.counts,-0.37160477,0.064076476,-0.012684973,0.07705392,0.124215275,0.061332144,-0.012897654,-0.056682628,-0.01867021,0.052375443,batch2,2i
ola_mES_2i_2_27.counts,-0.40396094,-0.20727144,-0.261011,0.04518922,0.060821254,0.04879598,-0.048839353,-0.08409613,0.0029598607,0.026292536,batch2,2i
