cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,-53.73714,-93.82013,23.413975,8.198401,0.75896233,-15.920077,-2.9288108,9.851159,-0.9405361,9.4638815,batch2,2i
ola_mES_2i_2_10.counts,-44.320362,-96.830414,24.131996,24.822208,-10.179769,-22.412647,3.4340396,19.102955,-9.4288025,-15.077082,batch2,2i
ola_mES_2i_2_11.counts,-27.745502,-101.51208,13.279851,32.890007,-8.291439,-33.783607,22.508385,24.363226,-3.431336,-18.114117,batch2,2i
ola_mES_2i_2_12.counts,-23.67138,-93.25477,12.656667,33.508682,-14.304848,-27.731512,0.7283085,-4.995477,-18.107552,0.36829826,batch2,2i
ola_mES_2i_2_13.counts,-28.58139,-88.73464,28.878244,23.080576,-15.2006445,-14.404324,-14.971823,-3.873721,-32.761497,26.272549,batch2,2i
ola_mES_2i_2_14.counts,-42.674454,-90.33654,33.916874,32.97456,-21.759264,-8.321622,-4.516242,0.3585815,5.848763,-1.092216,batch2,2i
ola_mES_2i_2_15.counts,38.38574,-76.72034,-8.537506,46.964073,-11.780883,13.2464075,-9.384987,47.612595,-22.005646,-14.576646,batch2,2i
ola_mES_2i_2_16.counts,-57.19462,-96.73905,42.241043,19.788443,-11.971663,-10.842651,12.977848,13.732184,0.20867313,-20.008978,batch2,2i
ola_mES_2i_2_17.counts,-37.134434,-88.49889,30.656843,25.229254,-9.748433,-1.1462746,-21.694605,-8.372823,15.143495,9.06825,batch2,2i
ola_mES_2i_2_18.counts,45.34657,-73.005226,-54.667957,49.98043,9.368683,-54.066544,37.677017,-17.242321,2.0464873,4.8662524,batch2,2i
ola_mES_2i_2_19.counts,-3.486415,-83.545784,14.62872,32.56844,-25.933453,-8.055651,0.6671594,23.032518,13.840507,-2.3295708,batch2,2i
ola_mES_2i_2_2.counts,-37.191303,-91.53097,24.045757,28.791302,-7.630404,-1.3170913,-3.1763823,14.357939,9.754598,-11.90659,batch2,2i
ola_mES_2i_2_20.counts,-58.011936,-85.238945,33.90292,12.181135,7.3423967,4.8539762,-9.548995,3.8664827,21.948961,8.911276,batch2,2i
ola_mES_2i_2_21.counts,-1.1935309,-94.99218,12.447006,34.749527,6.2993026,-12.809295,4.4544816,15.519186,-23.304396,-12.709347,batch2,2i
ola_mES_2i_2_22.counts,-56.479225,-95.98748,44.46618,17.210522,-19.764536,-10.8561325,6.7827992,9.559492,-1.1120547,-11.2724695,batch2,2i
ola_mES_2i_2_23.counts,-25.454493,-88.690636,31.24595,41.43582,-17.75783,-31.217539,-20.10807,-29.015396,-2.8009553,15.522834,batch2,2i
ola_mES_2i_2_24.counts,-32.736824,-88.53086,15.0335045,25.31342,-7.0506363,-30.406767,0.9401207,-15.78362,-11.383437,17.830158,batch2,2i
ola_mES_2i_2_25.counts,-49.606773,-104.78488,44.07092,22.007269,-14.473549,-11.978349,0.68385863,31.04125,-4.2159204,-17.194511,batch2,2i
ola_mES_2i_2_26.counts,3.1745634,-85.888,-6.8249497,32.818844,-6.803261,-24.327826,-3.0692906,28.381454,-3.7034688,-18.09738,batch2,2i
ola_mES_2i_2_27.counts,-43.077633,-99.62187,35.876217,18.805046,-7.1500573,-12.671579,5.783058,35.657566,-9.2530985,-6.839957,batch2,2i
ola_mES_2i_2_28.counts,0.9551396,-65.44523,38.93414,63.78939,-18.044914,15.564084,-51.63092,5.1769333,47.521667,-31.570038,batch2,2i
ola_mES_2i_2_29.counts,-28.009981,-89.300316,30.726791,30.373974,-12.98523,-20.06189,-5.2395344,12.170033,-21.069992,-10.487525,batch2,2i
ola_mES_2i_2_3.counts,-54.030434,-105.14956,40.365566,17.324705,-14.384843,-10.839402,6.8359723,26.913763,-7.356744,-1.9585938,batch2,2i
ola_mES_2i_2_30.counts,-14.012098,-79.38212,-4.0630918,33.805653,0.25467858,-36.614185,6.1712813,-30.202307,8.525069,8.6374655,batch2,2i
ola_mES_2i_2_31.counts,-29.905897,-100.439026,30.029198,39.24788,-22.109388,-42.396576,17.16389,1.4555795,-7.52043,-4.4920535,batch2,2i
ola_mES_2i_2_32.counts,-49.7157,-101.08443,43.507576,15.347911,-13.267311,-4.2796016,-7.302762,29.197739,-8.767452,1.6433033,batch2,2i
ola_mES_2i_2_33.counts,4.0688744,-88.349655,-13.304887,42.811497,-11.639644,-55.973747,35.27072,-5.934486,-6.727537,2.3727114,batch2,2i
ola_mES_2i_2_34.counts,-27.765123,-95.10758,19.99719,25.00489,-5.1003084,-26.261976,-3.745931,-7.772271,-5.447556,13.276408,batch2,2i
ola_mES_2i_2_35.counts,-24.151258,-94.75971,16.894297,28.125185,-7.836462,-18.761368,-8.4643,22.13807,-0.4480512,-18.991302,batch2,2i
ola_mES_2i_2_36.counts,-6.896429,-91.23259,22.224352,20.216328,-11.282135,0.87895405,3.0431225,35.73174,-25.395836,-26.940302,batch2,2i
ola_mES_2i_2_37.counts,-41.207443,-79.0254,36.443596,31.023392,-15.299073,-5.151452,-30.081514,4.755014,27.117891,12.050907,batch2,2i
ola_mES_2i_2_38.counts,-36.27326,-83.840515,42.181107,42.66265,-17.419342,-22.06046,-31.161205,-25.290976,11.817249,12.474831,batch2,2i
