cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,0.9724985,-0.53585076,-0.029589387,-0.64103925,-0.49304214,0.1146518,-0.41940537,-0.24960324,0.05209334,-0.17520952,batch2,2i
ola_mES_2i_2_10.counts,1.0128305,-0.8649634,0.3219178,-0.9908435,-0.23325823,-0.12277593,-0.11242391,-0.13903196,0.12767026,-0.2507813,batch2,2i
ola_mES_2i_2_11.counts,0.8629691,-0.77582073,0.79905266,-0.61968124,0.07367489,-0.592781,0.06285271,0.18297252,0.38482884,-0.2720206,batch2,2i
ola_mES_2i_2_12.counts,1.2810823,-0.96201766,0.14352465,-1.0321127,0.009090379,-0.10212664,-0.11139564,-0.004207343,0.3925253,-0.120852195,batch2,2i
ola_mES_2i_2_13.counts,1.0522931,-1.3251967,0.08446885,-0.66674286,-0.54737943,0.24492805,-0.28993654,0.15383573,-0.00028350018,-0.2413264,batch2,2i
ola_mES_2i_2_14.counts,0.27273938,-0.49591854,0.76608926,0.50741434,-0.028554967,-0.57879305,-0.061057046,-0.46887502,0.11488537,0.40395746,batch2,2i
ola_mES_2i_2_15.counts,0.72668016,-1.0416223,0.70107293,0.3681036,-0.49780214,0.39674315,0.2913922,-0.04895045,-0.32190183,0.22505347,batch2,2i
ola_mES_2i_2_16.counts,0.291795,-0.78133404,0.261628,-0.291933,0.47394487,-0.27898955,-0.121958,-0.5117898,0.25586438,-0.12626156,batch2,2i
ola_mES_2i_2_17.counts,0.95443565,-1.2566497,0.3511888,0.017865553,-0.41459143,-0.0773204,-0.45350975,0.34235737,-0.41455805,-0.038748883,batch2,2i
ola_mES_2i_2_18.counts,1.5626379,0.012532263,0.9371003,0.1142249,0.6277403,0.08260098,0.33255753,0.60755265,-0.1060676,-0.09015258,batch2,2i
ola_mES_2i_2_19.counts,1.3383021,-1.1871259,0.0110624395,0.0837014,-0.8965566,0.11272508,-0.2621494,0.017521128,-0.3724802,0.0042527393,batch2,2i
ola_mES_2i_2_2.counts,1.0159559,-1.0561849,0.544047,-0.6498591,-0.52450895,0.35552227,-0.30659863,-0.20597881,0.14554615,0.08930726,batch2,2i
ola_mES_2i_2_20.counts,0.40944704,-0.47086003,0.061657313,-0.1438538,0.16908982,-0.013440467,-0.3940355,-0.37281957,0.30261582,0.22619121,batch2,2i
