cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,-50.118496,-76.89783,5.369309,22.448124,-16.990553,-3.335458,-12.932612,6.7961855,-3.5877483,-6.680162,batch2,2i
ola_mES_2i_2_10.counts,-46.432934,49.92626,-29.84795,-12.048759,16.672873,0.38238224,-6.030793,0.3193277,17.919132,-8.178162,batch2,2i
ola_mES_2i_2_11.counts,-40.98451,53.612762,-53.190437,-37.87245,18.700752,-10.864874,3.0538483,-6.1090875,0.69212323,0.82521343,batch2,2i
ola_mES_2i_2_12.counts,-30.20335,-4.9126062,-32.55711,7.115612,46.4074,25.294836,14.557362,-23.099112,50.528522,-74.36856,batch2,2i
ola_mES_2i_2_13.counts,-40.475838,44.993412,-36.43866,-5.2900248,30.212482,3.8778653,-13.669931,6.3087683,40.288727,-10.372491,batch2,2i
ola_mES_2i_2_14.counts,-52.586777,92.39192,-26.565075,-61.542072,14.039441,-30.688051,-4.51598,-17.550182,-71.42572,-38.285576,batch2,2i
ola_mES_2i_2_15.counts,-20.748814,-21.65363,-45.807236,11.74468,10.342575,-10.1907625,10.511792,-7.9979553,-1.2093358,6.5055127,batch2,2i
ola_mES_2i_2_16.counts,-21.545143,-50.306606,-48.677425,17.624125,-2.0795593,-7.717923,-3.154596,-5.153282,-16.122986,12.075184,batch2,2i
ola_mES_2i_2_17.counts,-7.9303703,-47.180744,-46.97307,15.238162,14.811003,3.4111776,14.412811,19.87861,-13.0441675,18.996847,batch2,2i
ola_mES_2i_2_18.counts,-12.81312,-34.88848,-51.12517,11.651866,0.19657592,-9.200597,4.821621,-4.782607,-13.898026,-1.5324848,batch2,2i
ola_mES_2i_2_19.counts,6.577574,-46.61997,-7.7520676,28.825138,34.74596,-12.600377,20.502237,-5.1208744,-6.8290334,-17.926538,batch2,2i
ola_mES_2i_2_2.counts,-39.454613,14.971797,-33.24956,0.5919061,29.771578,9.741987,21.800262,19.535213,21.755905,-22.40168,batch2,2i
ola_mES_2i_2_20.counts,-4.7664375,-60.01439,-56.719585,37.40434,8.957735,-1.177702,20.799238,-1.3498687,5.2601438,12.261438,batch2,2i
ola_mES_2i_2_21.counts,-39.574604,-5.0372486,-42.014565,-5.2657123,-0.3261734,-21.809652,-17.179604,-2.431942,-35.242268,1.2097392,batch2,2i
ola_mES_2i_2_22.counts,-16.198574,-60.668198,-47.273384,26.316017,19.044443,-0.5986547,12.572633,-4.6843195,-0.7724742,21.316505,batch2,2i
ola_mES_2i_2_23.counts,-37.198387,-45.465897,-38.933216,23.812653,7.1743164,-6.03703,-7.7039223,-0.6112368,-6.498213,-1.8233573,batch2,2i
ola_mES_2i_2_24.counts,-15.182481,-24.654945,-52.00994,-0.41020593,21.765442,22.422915,-7.686509,0.86331147,25.073563,9.700285,batch2,2i
ola_mES_2i_2_25.counts,-16.74511,-12.019283,-38.292496,16.942577,18.719202,35.055454,8.38843,14.030213,62.97271,0.16245687,batch2,2i
ola_mES_2i_2_26.counts,-24.450884,4.616246,-36.918365,-4.553561,36.37876,33.10652,8.883729,7.91177,51.024864,-9.396194,batch2,2i
ola_mES_2i_2_27.counts,-91.541756,262.3396,-2.9261909,192.00304,-38.34825,11.458548,-6.3564196,19.035883,-11.219794,0.11312116,batch2,2i
ola_mES_2i_2_28.counts,-24.600628,0.12645054,-48.468082,0.60450286,18.278008,-12.893047,-9.396101,5.356929,-22.931866,23.86186,batch2,2i
ola_mES_2i_2_29.counts,86.227196,-8.974985,-14.526183,-5.509614,-46.39261,-7.2243514,2.8612328,-1.8819529,-20.026684,15.602914,batch2,2i
ola_mES_2i_2_3.counts,114.02655,38.635246,44.6027,-13.089763,56.455673,-35.732056,-18.405615,12.206015,-16.822636,8.761802,batch2,2i
ola_mES_2i_2_30.counts,71.66556,-25.9068,-18.748392,1.8240273,-39.636993,7.421326,-5.588763,-4.6447325,-12.645644,13.390367,batch2,2i
ola_mES_2i_2_31.counts,73.74294,19.617779,-13.166943,-28.367554,-37.01788,-8.066344,-1.9242848,-3.7967894,1.68346,2.302658,batch2,2i
ola_mES_2i_2_32.counts,51.650703,41.885162,-17.176077,-15.516893,-39.825237,32.65282,17.369623,-8.783597,13.68394,-0.1972757,batch2,2i
ola_mES_2i_2_33.counts,90.78281,19.240154,-4.9866443,-16.734173,-38.649776,-5.0427074,14.620069,-4.2135873,-2.3677702,13.525331,batch2,2i
ola_mES_2i_2_34.counts,99.55147,23.035383,8.566236,-16.475174,-10.4973,-8.072073,-11.639914,-0.23649953,0.2977922,11.216368,batch2,2i
ola_mES_2i_2_35.counts,-29.475677,20.354044,-47.28285,1.3750672,18.98151,17.29316,2.3459516,6.85654,-0.35273623,25.346024,batch2,2i
ola_mES_2i_2_36.counts,3.6670628,-55.196926,-45.044014,15.307299,-0.16060258,-8.864808,23.701374,-4.5753183,-1.2405393,17.603662,batch2,2i
ola_mES_2i_2_37.counts,-36.58451,16.41894,-60.485935,-6.3595767,20.844372,-8.441027,19.860518,0.7340121,-31.62969,-17.524431,batch2,2i
ola_mES_2i_2_38.counts,11.312483,-85.49274,-28.243319,34.802753,0.461794,24.071175,38.245544,8.032694,22.962215,4.902152,batch2,2i
ola_mES_2i_2_39.counts,-21.41975,-66.04876,-32.06841,19.824589,7.874603,6.387663,15.4766245,-3.200234,25.482512,6.9035897,batch2,2i
