cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,-72.31038,-43.08921,45.601154,-3.1864026,-4.1168323,-12.602055,-19.482395,-1.4319596,6.1999097,-5.753413,batch2,2i
ola_mES_2i_2_10.counts,-77.68524,-40.5356,49.31571,-0.5230488,16.198637,-18.430643,-15.7946205,4.738808,17.921047,-1.118344,batch2,2i
ola_mES_2i_2_11.counts,-87.3378,-38.84282,38.637764,8.000153,24.347898,-29.138878,-17.206072,24.47413,21.665985,5.5528016,batch2,2i
ola_mES_2i_2_12.counts,-79.97461,-31.395466,38.419956,10.613666,29.720045,-17.40224,-17.337357,1.0416247,-6.363222,-17.413822,batch2,2i
ola_mES_2i_2_13.counts,-74.061035,-22.142954,48.48366,1.0921099,20.537773,-3.4884615,-17.616743,-13.4328375,-5.0093017,-43.196594,batch2,2i
ola_mES_2i_2_14.counts,-70.08703,-33.105843,61.830067,-1.1670407,26.811354,-0.12882815,-13.261041,-2.6415358,-1.8284193,4.240425,batch2,2i
ola_mES_2i_2_15.counts,-84.470375,-7.2151303,6.7864146,19.703543,39.68603,3.19893,29.850847,-8.595302,59.313725,-7.1398315,batch2,2i
ola_mES_2i_2_16.counts,-72.187126,-37.752956,67.953156,-8.098005,8.652599,-7.39453,-13.938988,14.4056225,10.800043,8.897727,batch2,2i
ola_mES_2i_2_17.counts,-70.72354,-28.652267,54.64148,2.4424455,13.781548,2.6764922,-8.242185,-20.854076,-9.270476,8.007945,batch2,2i
ola_mES_2i_2_18.counts,-83.55392,-28.854832,-34.21344,42.145145,39.88925,-57.19688,-1.9262358,34.12381,-19.266554,-0.82181,batch2,2i
ola_mES_2i_2_19.counts,-78.19951,-19.387264,31.333624,-0.6903269,37.12941,-1.6171656,-4.209307,3.9846969,23.787287,14.145194,batch2,2i
ola_mES_2i_2_2.counts,-74.31809,-32.671547,48.90818,6.750551,16.513174,-0.27216086,-1.6436179,-1.541029,15.15114,14.673868,batch2,2i
ola_mES_2i_2_20.counts,-60.61672,-36.476814,60.49282,4.7487164,-11.579677,7.4255686,-16.643242,-6.3601665,-1.943543,12.762234,batch2,2i
ola_mES_2i_2_21.counts,-88.861755,-19.130836,32.802937,20.826658,15.8300705,-16.597946,3.3808005,4.1956387,19.238293,-13.163077,batch2,2i
ola_mES_2i_2_22.counts,-72.22126,-35.39405,66.70111,-14.83264,13.5632105,-5.1503763,-14.672019,7.953407,7.0160995,3.9475808,batch2,2i
ola_mES_2i_2_23.counts,-73.12203,-21.731787,58.505875,10.79706,34.598705,-16.694584,-26.850739,-19.976831,-32.759815,-12.839469,batch2,2i
ola_mES_2i_2_24.counts,-73.548225,-33.458336,36.43107,6.4302955,19.998537,-24.406523,-14.201187,-0.4713502,-17.319647,-18.988268,batch2,2i
ola_mES_2i_2_25.counts,-83.397865,-34.385853,66.53732,-9.37498,13.34085,-7.9973483,-16.130178,3.8924067,29.291355,4.279771,batch2,2i
ola_mES_2i_2_26.counts,-82.84587,-25.662457,11.77329,15.613621,28.664728,-21.481104,-7.4850144,-1.4452626,30.383387,6.8713617,batch2,2i
ola_mES_2i_2_27.counts,-80.827614,-33.58993,56.797756,-5.7984858,7.29583,-11.578205,-13.891413,8.729783,33.776592,-4.5153513,batch2,2i
ola_mES_2i_2_28.counts,-58.124966,1.3261852,64.04118,21.635662,46.072216,15.032395,11.843809,-49.57198,11.990565,57.76964,batch2,2i
ola_mES_2i_2_29.counts,-75.432945,-22.66128,49.473408,2.439191,25.510887,-15.74549,-7.089525,-4.735006,15.187491,-12.657035,batch2,2i
ola_mES_2i_2_3.counts,-82.31582,-38.67409,64.267265,-10.36697,9.524452,-4.880165,-19.132566,10.405846,23.14231,-6.504281,batch2,2i
ola_mES_2i_2_30.counts,-70.94633,-33.838936,17.845007,17.975946,24.13473,-34.370354,-10.103483,3.3725343,-32.22992,2.4002576,batch2,2i
ola_mES_2i_2_31.counts,-84.80344,-29.967918,54.47893,1.9939001,38.353085,-31.09613,-24.37091,18.051455,-2.7146783,-5.9659324,batch2,2i
ola_mES_2i_2_32.counts,-79.6475,-31.59901,64.0537,-10.795881,7.8978276,-0.39757937,-12.752994,-4.2027044,28.587982,-8.027089,batch2,2i
ola_mES_2i_2_33.counts,-84.91642,-31.518578,9.362989,19.320517,43.096424,-47.422836,-19.000462,34.39202,-10.179519,-7.96432,batch2,2i
ola_mES_2i_2_34.counts,-81.196884,-31.250574,40.991085,5.2991686,16.097311,-21.245789,-16.670567,-3.631596,-10.176484,-12.486014,batch2,2i
ola_mES_2i_2_35.counts,-83.32836,-32.746628,34.395287,1.5508505,21.426176,-20.99773,-2.6717753,-7.961307,25.246346,10.269991,batch2,2i
ola_mES_2i_2_36.counts,-83.439064,-14.521946,37.9309,1.9815307,15.4659395,3.7452452,-0.5643187,5.354889,39.62623,-7.789721,batch2,2i
ola_mES_2i_2_37.counts,-58.977512,-25.063152,63.221798,5.330148,20.956154,8.276327,-24.98294,-24.414091,0.28560966,15.01173,batch2,2i
