cells,0,1,2,3,4,5,6,7,8,9,batch,celltype
ola_mES_2i_2_1.counts,0.42782667,-1.1010557,0.95842373,-1.5678635,0.29879707,0.5127195,0.07877791,-0.5070944,-0.32057172,-0.59352005,batch2,2i
ola_mES_2i_2_10.counts,0.059045285,-1.7816693,0.5050396,-0.66254807,0.8787514,0.22757982,-0.52253747,0.20156705,-0.14996904,-0.3866586,batch2,2i
ola_mES_2i_2_11.counts,0.26367688,-2.416825,-0.3543722,-0.6688102,1.0916044,-0.6497617,0.3505146,1.1216244,-0.81526905,-0.51739377,batch2,2i
ola_mES_2i_2_12.counts,0.5992885,-1.795954,-0.29838133,-0.7114777,0.9468407,-0.72564554,0.62156415,0.77851737,-1.2877457,-1.4609059,batch2,2i
ola_mES_2i_2_13.counts,0.43025193,-1.5149145,1.415435,-0.6582858,0.30337524,2.1466548,-0.40722156,0.06981516,0.6054744,-0.6431296,batch2,2i
ola_mES_2i_2_14.counts,0.495335,-1.3053085,1.210567,-0.65106493,1.2688394,0.58297944,-1.0926535,0.60176647,0.6290299,-0.81201303,batch2,2i
ola_mES_2i_2_15.counts,0.25572821,-0.7761759,3.628725,-2.0923963,1.0121989,1.0418301,3.3233402,2.055901,0.35328567,-2.8187718,batch2,2i
ola_mES_2i_2_16.counts,0.17723516,-1.6569356,0.5260614,-0.21424311,1.0541005,0.21666807,-1.5390127,-0.023375273,0.2578687,-0.29069808,batch2,2i
ola_mES_2i_2_17.counts,1.0043699,-0.6673353,1.2037374,-0.7110634,0.8476391,0.6489403,-0.96167016,0.10109258,1.1383278,-0.85236716,batch2,2i
ola_mES_2i_2_18.counts,2.9787638,-2.3760712,1.0420485,1.9313409,-1.5095698,-1.8690296,0.3938023,2.4286566,1.8983114,-0.9072306,batch2,2i
ola_mES_2i_2_19.counts,0.010238737,-1.4206097,0.9012164,-0.48678514,0.8860116,1.1829349,-0.14493912,0.24211693,-0.27150542,-0.97377896,batch2,2i
ola_mES_2i_2_2.counts,-0.33992642,-1.8039306,1.0505596,-0.79746205,1.9556088,1.0129535,0.050188184,0.68513167,0.75499326,-0.16308108,batch2,2i
ola_mES_2i_2_20.counts,0.013346881,-0.9585854,1.0089223,-0.8418334,1.0998795,0.4982221,-0.4726756,-0.4859594,0.21149534,-0.88559556,batch2,2i
ola_mES_2i_2_21.counts,-0.5788788,-2.4116166,1.6100969,-1.9535418,0.519583,1.7067851,1.2116723,1.4917876,1.6039567,-0.82599664,batch2,2i
ola_mES_2i_2_22.counts,0.8426361,-1.3543484,0.49270394,-0.8570906,0.8691946,0.51397836,-1.1252599,0.26681626,0.031004906,-0.06171474,batch2,2i
ola_mES_2i_2_23.counts,0.030242056,-1.7889359,0.6655253,-0.15848437,0.77474314,0.5143489,-0.81933665,0.2694459,0.023117542,-1.1674663,batch2,2i
