use_case	iteration	ari_batch	ari_celltype
limma	1	0.0299730821137432	0.510913855155618
limma	2	0.0364295753700024	0.517350694251144
limma	3	0.0114687838629603	0.474835055783486
limma	4	0.029246489577779	0.522302570988996
limma	5	0.0354832412020656	0.499389325666762
limma	6	0.0294281916561613	0.50310019999198
limma	7	0.0141449479066375	0.473071499432981
limma	8	-0.00214072412433465	0.966881324231696
limma	9	0.0325739794729036	0.503443277713402
limma	10	-0.00346007397003037	0.975064984712347
limma	11	0.0219405986549897	0.476664575355599
limma	12	-0.00314162902157876	0.929535048071999
limma	13	0.0333302738625419	0.521056380488494
limma	14	0.0358016866838173	0.521415047107134
limma	15	0.0210099052229817	0.50258476631963
limma	16	0.0188277659444963	0.468178582504638
limma	17	0.0161131323822887	0.478559850043813
limma	18	0.0344965703426268	0.507540191753591
limma	19	-0.00214384754137278	0.983313009236025
limma	20	-0.00310099613257601	0.966881324231696
limma_median	21	0.0214752519389857	0.509227023454605
