use_case	iteration	ari_batch	ari_celltype
quantnorm	1	-0.00266501203405433	0.983988448521526
quantnorm	2	-0.00232746919110726	0.946774038696918
quantnorm	3	-0.00275874072287946	0.968170442119367
quantnorm	4	0.000901554616425694	0.977190337464554
quantnorm	5	-0.00346859216201113	0.975713048398775
quantnorm	6	-0.00301087595218941	0.976418877903698
quantnorm	7	-0.000970903851183231	0.977190337464554
quantnorm	8	-0.00144139870676823	0.975713048398775
quantnorm	9	-0.00347112995084805	0.968916072951646
quantnorm	10	-0.00287413755594882	0.97642644169308
quantnorm	11	0.0127612895927546	0.450398714480664
quantnorm	12	-0.00229827256449331	0.968916072951646
quantnorm	13	-0.000877569034026776	0.977190337464554
quantnorm	14	-0.00308857508536186	0.954083105880369
quantnorm	15	-0.00123443859300106	0.56423872831299
quantnorm	16	0.135235828780998	0.538797385837302
quantnorm	17	-0.000666086354377456	0.550673178806057
quantnorm	18	-0.00348631215299114	0.961468125663049
quantnorm	19	-0.00123961836154053	0.984726946016955
quantnorm	20	-0.00194336997125846	0.977199115945054
quantnorm_median	21	-0.00212082126787589	0.972314560675211
