use_case	iteration	ari_batch	ari_celltype
scbatch	1	-0.0017652801707749	0.992332616953626
scbatch	2	0.401878699161994	0.532796744410309
scbatch	3	0.120473669880727	0.450877214903439
scbatch	4	0.72443492167317	0.19781316805834
scbatch	5	0.399035874274583	0.539601066335978
scbatch	6	0.401696528669261	0.532836035078766
scbatch	7	0.122491885555386	0.450877214903439
scbatch	8	0.723970571263999	0.19294183232249
scbatch	9	0.398207827461022	0.539622772097492
scbatch	10	-0.00285788948097614	0.992332616953626
scbatch	11	0.0317417066153335	0.476664575355599
scbatch	12	-0.00214514560232566	1
scbatch	13	0.398753239771239	0.541848702395992
scbatch	14	0.399511575242826	0.538954319270638
scbatch	15	0.123565263068618	0.450877214903439
scbatch	16	0.401204306761183	0.539010811858947
scbatch	17	0.0228365329331594	0.474835055783486
scbatch	18	0.398666643929159	0.539345129189893
scbatch	19	-0.00123961836154053	1
scbatch	20	0.400984334489345	0.539010811858947
scbatch_median	21	0.39843723569509	0.538982565564792
