	batch	cell
ola_mES_2i_2_1.counts	1.38816961238609	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.29931829480542	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.16114575890702	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.52089671194854	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.42356652130211	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.85662942878007	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.85963649545889	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.25289101362361	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.67030889439982	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.88781512995089	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.47652087992849	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.76026885801248	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.29581066694313	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.23807206805104	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.28604203391556	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.85698366070223	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.46500908412149	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.2705977582284	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.96280952613127	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.30628558142201	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.55373566885528	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.44274540674199	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.25790073581878	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.19601178299174	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.46682085121464	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.54826407065459	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.1526239622039	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.40224544699941	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.46319961778686	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.35262253896753	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.51789569320793	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.76414246273804	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.39135670994194	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.7472714791363	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.50222102358878	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.16966317763733	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.99706877359451	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.22651190009116	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.1424360908684	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.37751032690312	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.16689219291808	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.21678478083166	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.65219093372513	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.3864216444287	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.86889008662763	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.27835582104842	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.4183952973873	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.45070366695932	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.78607269540059	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.26246308669448	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.59900966944258	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.19708002961071	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.3160431793899	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.28167912241863	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.25804958715396	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.36169947861737	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.35366482147541	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.31637904796536	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.86057773815847	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.10454781839632	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.20211269957251	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.55355901747037	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.43258333821338	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.2297474868878	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.31717875838614	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.46008463325528	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.51903121018569	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.17431533964732	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1.36016914519642	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1.36090170541832	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.21372184239683	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.30572130610375	ola_mES_2i_2_8.counts
