	batch	cell
ola_mES_2i_2_1.counts	1.27066677166428	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.35928318260976	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.28209479227339	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.78295823602694	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.6589024097121	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.39254783804949	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.99996149614076	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.87247976517127	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.99900563350234	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.8830913020109	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.82393765316267	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.52606213624868	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.89596943863635	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.94474145730107	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.97703565426597	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.88308062838996	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.98864877488598	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.65810163569146	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.94422345383889	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.92635432234898	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.88793632435222	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.97526348992259	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.95888318941822	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.89591769605967	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.87598885938394	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.99998474132735	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.81192088626922	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.99918684655184	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.67763509694031	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.93432321090521	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.4227855209289	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.76269858881783	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.80412507505722	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.94390734481514	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.35862597446521	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.53258392874595	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.91510215021298	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.90240618627267	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.9878269824874	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.5809375702722	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.86287466941118	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.39160547841489	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.87764161311478	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.78466421204478	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.90660754823677	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.97318725090699	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.98907039039435	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.90867070794452	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.87699418975018	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.86990042966921	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.90629699956669	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.85397891163435	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.83276867526557	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.93212670347664	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.83048445105199	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.73200573401418	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.92293686456728	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.80180182695756	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.72319698380216	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.84386600431072	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.92318859348455	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.93666074269123	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.8966879666833	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.50799279766763	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.77799427643595	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.67341623471133	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.78219787091868	ola_mES_2i_2_73.counts
