	batch	cell
ola_mES_2i_2_1.counts	1.04524985260567	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.04034636975895	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.04083363020804	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.04405067469558	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.07788294775165	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.04698901840746	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.55442231543381	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.18352057307791	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.08095169560257	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.8960093991221	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.12784129116662	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.06011697699326	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.07480708384122	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.06422662641246	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.21671822023646	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.10122618076811	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.05712444599462	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.10264505385018	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.1102542213789	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.05754236291918	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.87659523431818	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.03263814029175	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.08977236472358	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.15791583600154	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.04832269646908	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.08608106370688	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.18932673413889	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.02749777222911	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.03170644205669	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.25377795102186	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.06738169740044	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.1346330689417	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.03964894569262	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.51906833696992	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.2281432897485	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.03811733110975	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.62000757464732	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.01536211369319	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.02340722986019	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.02241185293962	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.10720145501537	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.20978187577669	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.01266060407376	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.94179740625178	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.29225185641892	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.05228897828138	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.42696259570782	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.01319948969662	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.87840104527188	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.05096665271666	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.05528431207154	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.02631921756578	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.0440705643014	ola_mES_2i_2_58.counts
