	batch	cell
ola_mES_2i_2_1.counts	1.03177012845023	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.03167079032092	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.03639628327722	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.04003519844923	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.06666439056882	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.03861081230025	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.48537845808422	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.18084564913173	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.0704726220218	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.84750205015358	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.08511351084701	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.04771046933297	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.04639533262808	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.05606361076142	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.203079883303	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.08792066671529	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.04912822814755	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.10144811779511	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.08394864198045	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.05389594612723	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.73635478497	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.03245222535661	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.08658546329291	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.11628062696917	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.03864076191461	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.08313772464182	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.15308328659749	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.02608047518082	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.02353347536688	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.21137509995669	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.06829197508724	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.10480633687724	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.03365353385457	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.43267315429597	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.16089686548421	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.03673899837942	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.48046499057699	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.01200102193794	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.02007312151591	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.01670397295022	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.08114269523395	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.16693213066865	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.01240416186577	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.75733028755684	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.24790703506088	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.04357377433661	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.29270415096212	ola_mES_2i_2_52.counts
