	batch	cell
ola_mES_2i_2_1.counts	1.00697227991842	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.00498456238657	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.00709359059391	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00130715796203	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.00257236031592	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.00196734696072	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.07337159023087	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.03732661315463	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.00151794841167	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.26950016192206	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00419218631965	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00142380433435	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.00192980587495	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.00441888656488	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.05065184487703	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.0120514474298	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.00254956383599	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.04272709918423	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.01494356755373	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.02568450928228	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.13475527588641	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.00127670061507	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.06375269204211	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.01502718375223	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00168333014393	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.03326225705612	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.02989826275362	ola_mES_2i_2_33.counts
