	batch	cell
ola_mES_2i_2_1.counts	1.00024430458918	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.0014356910763	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.00475605019544	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00555918911542	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.01981541756765	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.01625737063105	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.14439726718346	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.0106654284807	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.01944946881869	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.10136089398863	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.03943547658554	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00454333795409	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.00996464956337	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.0491042338427	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.00966852808891	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.10303882756543	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.00479230901027	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.0096942887129	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.03055153862422	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.00443460707293	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.32570779661513	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.01098579680038	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.00714202403463	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.02387850812942	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00792413286377	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.01080926916128	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.06262924681895	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.00419728434859	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.00325063042123	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.07169816673001	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.10280447900083	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.29160863525623	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.00184038526341	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.10975574075945	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.1025325395563	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.00787751248038	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.08793968797009	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.00630853327266	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.03458814050866	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.00593060015095	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.07425818539918	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.13621034795092	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.00865908636269	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.10863883411045	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.09825215599906	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.04905636940412	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.0631411382601	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.00247017069938	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.10535521215243	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.00270706169455	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.07610226642756	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.00128374754404	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.01520468736937	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.0403080052634	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.0036113568282	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.03803806793142	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.00980006059324	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.00446562845021	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.04827290382881	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.01252396023857	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.08340248140312	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.13641339481168	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.00628933996378	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.00270646340414	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.00048052691553	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.01372700080438	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.12552552398875	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.19717217250295	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1.01262100411137	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1.00544795028252	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.01867097448477	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.00888397413293	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1.00413628790053	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1.08475082753789	ola_mES_2i_2_81.counts
