	batch	cell
ola_mES_2i_2_1.counts	1.0456406238907	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.04979469887448	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.01223721957205	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.10456732197584	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.165514223388	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.03797966519862	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.10284187993019	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.07128947380029	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.0984073311538	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.17016620544521	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.26717357095314	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.03352707135808	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.05277563019651	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.11031356566945	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.01274290595076	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.07812356817095	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.37941596936931	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.06897825406128	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.11476195023866	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.05143630212135	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.99445970075584	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.08917086779922	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.04638239043558	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.01627568815539	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.04038530862527	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.07329108668766	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.05434455678678	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.02527373730519	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.02928865140827	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.18982338300637	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.44435541632173	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.11551516515742	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.04215051278472	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.3832258523558	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.0517505592992	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.04010293129264	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.05721555883597	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.04836277392796	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.17457877394708	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.01598644866028	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.04871112038548	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.11383916370659	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.13703196646043	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.94597097447154	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.86968943907643	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.03033153006281	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.23304439398876	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.03834080009662	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.48376138174904	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.01716877961483	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.43946216441783	ola_mES_2i_2_56.counts
