	batch	cell
ola_mES_2i_2_1.counts	1.06405722938408	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.03299116280428	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.04378709610696	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.05472998321924	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.2692753837307	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.15817592567614	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.94079129983278	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.11574703229364	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.25691538630994	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.29397311935992	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.10826009836996	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.06952352508827	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.05989565878915	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.22319963740567	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.12888580427803	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.08920551804091	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.1048394204204	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.17672917621111	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.25813184875512	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.10764069734889	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.53618944230727	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.09466638703993	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.07974625513368	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.02980609653353	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.08809960017191	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.0966420860842	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.0242529357679	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.06206552900924	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.1198676217219	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.69470247644643	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.14134569733302	ola_mES_2i_2_37.counts
