	batch	cell
ola_mES_2i_2_1.counts	1.0000001192093	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.0000001192093	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.0013569079234	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.04125843758043	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00008309405203	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.02805388694042	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.0000001192093	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.00152332504685	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.0055676032411	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.0000001192093	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.00058396387999	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.00155594436497	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.00275727511706	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.00256284676883	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.04186895044459	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.0000001192093	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.00051679366346	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.0000001192093	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.00098635137635	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.01082853213566	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.0000001192093	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1	ola_mES_2i_2_81.counts
ola_mES_2i_2_85.counts	1	ola_mES_2i_2_85.counts
ola_mES_2i_2_86.counts	1.00312480213667	ola_mES_2i_2_86.counts
ola_mES_2i_2_87.counts	1.0000001192093	ola_mES_2i_2_87.counts
ola_mES_2i_2_90.counts	1.01972501706078	ola_mES_2i_2_90.counts
ola_mES_2i_2_91.counts	1	ola_mES_2i_2_91.counts
ola_mES_2i_2_93.counts	1	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.00482286627052	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.14853659684981	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.00307923190313	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.00115637818087	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.00646715668247	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.03497413723407	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.04932375576822	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.00696878703443	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.00333281185645	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.00184146109015	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.05012861971498	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.00341086936134	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.020868700366	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.00154208404298	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.00866681528765	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.01983389104392	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.00568938205863	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.00751641880308	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.04442451546991	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.01420841286502	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.05027153448031	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.00228413951196	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.00130763569722	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.05289868190066	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.03422842189469	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.00214976231017	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.06014868822851	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.00208225512307	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.00162566902124	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.0022546542703	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.00235118844052	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.00855747610473	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.00183022455309	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.00749960203982	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.08096191249456	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.00361159655997	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.01141519020307	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.00634030319131	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.00552895890937	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.07767513902224	ola_mES_2i_3_6.counts
ola_mES_2i_3_62.counts	1.00389799154737	ola_mES_2i_3_62.counts
ola_mES_2i_3_65.counts	1.00729349252697	ola_mES_2i_3_65.counts
ola_mES_2i_3_66.counts	1.00070680863806	ola_mES_2i_3_66.counts
ola_mES_2i_3_69.counts	1	ola_mES_2i_3_69.counts
ola_mES_2i_3_7.counts	1.02068910654036	ola_mES_2i_3_7.counts
ola_mES_2i_3_73.counts	1.0461770894984	ola_mES_2i_3_73.counts
ola_mES_2i_3_76.counts	1.01739313764177	ola_mES_2i_3_76.counts
ola_mES_2i_3_77.counts	1.0010215710595	ola_mES_2i_3_77.counts
ola_mES_2i_3_78.counts	1.00195036961474	ola_mES_2i_3_78.counts
ola_mES_2i_3_79.counts	1.04292747896174	ola_mES_2i_3_79.counts
ola_mES_2i_3_8.counts	1.00957051525742	ola_mES_2i_3_8.counts
ola_mES_2i_3_80.counts	1.00546213233356	ola_mES_2i_3_80.counts
ola_mES_2i_3_82.counts	1.00627207228098	ola_mES_2i_3_82.counts
ola_mES_2i_3_83.counts	1.01119345880024	ola_mES_2i_3_83.counts
ola_mES_2i_3_84.counts	1.00298875971175	ola_mES_2i_3_84.counts
ola_mES_2i_3_87.counts	1.01320818197851	ola_mES_2i_3_87.counts
ola_mES_2i_3_88.counts	1.00415793872232	ola_mES_2i_3_88.counts
ola_mES_2i_3_90.counts	1.00394211834358	ola_mES_2i_3_90.counts
ola_mES_2i_3_91.counts	1.0225822190239	ola_mES_2i_3_91.counts
ola_mES_2i_3_92.counts	1.00592476660361	ola_mES_2i_3_92.counts
ola_mES_2i_3_96.counts	1.04539848514392	ola_mES_2i_3_96.counts
ola_mES_a2i_2_1.counts	1.16377326431969	ola_mES_a2i_2_1.counts
ola_mES_a2i_2_10.counts	1.00008965141506	ola_mES_a2i_2_10.counts
ola_mES_a2i_2_11.counts	1.0037000555562	ola_mES_a2i_2_11.counts
ola_mES_a2i_2_12.counts	1.00140600443228	ola_mES_a2i_2_12.counts
ola_mES_a2i_2_13.counts	1.00960715467485	ola_mES_a2i_2_13.counts
ola_mES_a2i_2_14.counts	1.01172202279744	ola_mES_a2i_2_14.counts
ola_mES_a2i_2_15.counts	1.17389947930725	ola_mES_a2i_2_15.counts
ola_mES_a2i_2_16.counts	1.03386550887427	ola_mES_a2i_2_16.counts
ola_mES_a2i_2_17.counts	1.01345446746817	ola_mES_a2i_2_17.counts
ola_mES_a2i_2_18.counts	1.00151460304285	ola_mES_a2i_2_18.counts
ola_mES_a2i_2_19.counts	1.11279746059168	ola_mES_a2i_2_19.counts
ola_mES_a2i_2_2.counts	1.13338446854664	ola_mES_a2i_2_2.counts
ola_mES_a2i_2_20.counts	1.0109804052606	ola_mES_a2i_2_20.counts
ola_mES_a2i_2_21.counts	1.06144710992241	ola_mES_a2i_2_21.counts
ola_mES_a2i_2_22.counts	1.02512175435144	ola_mES_a2i_2_22.counts
ola_mES_a2i_2_23.counts	1.0052958750383	ola_mES_a2i_2_23.counts
ola_mES_a2i_2_24.counts	1.01215012213897	ola_mES_a2i_2_24.counts
ola_mES_a2i_2_25.counts	1.09977346268662	ola_mES_a2i_2_25.counts
ola_mES_a2i_2_26.counts	1.00155068693545	ola_mES_a2i_2_26.counts
ola_mES_a2i_2_27.counts	1.00323481806268	ola_mES_a2i_2_27.counts
ola_mES_a2i_2_28.counts	1.00454477811053	ola_mES_a2i_2_28.counts
ola_mES_a2i_2_29.counts	1.00247687133971	ola_mES_a2i_2_29.counts
ola_mES_a2i_2_3.counts	1.02281735184522	ola_mES_a2i_2_3.counts
ola_mES_a2i_2_30.counts	1.00020769493571	ola_mES_a2i_2_30.counts
ola_mES_a2i_2_31.counts	1.04101753187003	ola_mES_a2i_2_31.counts
ola_mES_a2i_2_32.counts	1.00434563117784	ola_mES_a2i_2_32.counts
ola_mES_a2i_2_33.counts	1.00175689281253	ola_mES_a2i_2_33.counts
ola_mES_a2i_2_34.counts	1.0023517866224	ola_mES_a2i_2_34.counts
ola_mES_a2i_2_35.counts	1.00090666612319	ola_mES_a2i_2_35.counts
ola_mES_a2i_2_36.counts	1.00152810441649	ola_mES_a2i_2_36.counts
ola_mES_a2i_2_37.counts	1.00419086702413	ola_mES_a2i_2_37.counts
ola_mES_a2i_2_38.counts	1.00167472550384	ola_mES_a2i_2_38.counts
ola_mES_a2i_2_39.counts	1.00374800557988	ola_mES_a2i_2_39.counts
ola_mES_a2i_2_4.counts	1.01286616711669	ola_mES_a2i_2_4.counts
ola_mES_a2i_2_40.counts	1.00154459320804	ola_mES_a2i_2_40.counts
ola_mES_a2i_2_41.counts	1.0102556350497	ola_mES_a2i_2_41.counts
ola_mES_a2i_2_42.counts	1.01806891603933	ola_mES_a2i_2_42.counts
ola_mES_a2i_2_43.counts	1.0047737592455	ola_mES_a2i_2_43.counts
ola_mES_a2i_2_44.counts	1.1216157531159	ola_mES_a2i_2_44.counts
ola_mES_a2i_2_45.counts	1.00372732671296	ola_mES_a2i_2_45.counts
ola_mES_a2i_2_46.counts	1.19523421852844	ola_mES_a2i_2_46.counts
ola_mES_a2i_2_47.counts	1.00890354335641	ola_mES_a2i_2_47.counts
ola_mES_a2i_2_48.counts	1.00984723824871	ola_mES_a2i_2_48.counts
ola_mES_a2i_2_49.counts	1.20274764788123	ola_mES_a2i_2_49.counts
ola_mES_a2i_2_5.counts	1.0324073498404	ola_mES_a2i_2_5.counts
ola_mES_a2i_2_50.counts	1.00850423237424	ola_mES_a2i_2_50.counts
ola_mES_a2i_2_51.counts	1.00082072425509	ola_mES_a2i_2_51.counts
ola_mES_a2i_2_52.counts	1.00364371833966	ola_mES_a2i_2_52.counts
ola_mES_a2i_2_53.counts	1.00738828316852	ola_mES_a2i_2_53.counts
ola_mES_a2i_2_54.counts	1.01897305845915	ola_mES_a2i_2_54.counts
ola_mES_a2i_2_55.counts	1.1670698840942	ola_mES_a2i_2_55.counts
ola_mES_a2i_2_56.counts	1.00463071926312	ola_mES_a2i_2_56.counts
ola_mES_a2i_2_57.counts	1.03315413049083	ola_mES_a2i_2_57.counts
ola_mES_a2i_2_59.counts	1.06579252241049	ola_mES_a2i_2_59.counts
ola_mES_a2i_2_6.counts	1.00162327900588	ola_mES_a2i_2_6.counts
ola_mES_a2i_2_60.counts	1.00712804747219	ola_mES_a2i_2_60.counts
ola_mES_a2i_2_61.counts	1.00178581824821	ola_mES_a2i_2_61.counts
ola_mES_a2i_2_62.counts	1.06380127368576	ola_mES_a2i_2_62.counts
ola_mES_a2i_2_63.counts	1.00044211497018	ola_mES_a2i_2_63.counts
ola_mES_a2i_2_64.counts	1.00287980165098	ola_mES_a2i_2_64.counts
ola_mES_a2i_2_65.counts	1.00219586730334	ola_mES_a2i_2_65.counts
ola_mES_a2i_2_66.counts	1.15431930035013	ola_mES_a2i_2_66.counts
ola_mES_a2i_2_67.counts	1.00164036766317	ola_mES_a2i_2_67.counts
ola_mES_a2i_2_68.counts	1.03315219122154	ola_mES_a2i_2_68.counts
ola_mES_a2i_2_69.counts	1.00565523866196	ola_mES_a2i_2_69.counts
ola_mES_a2i_2_7.counts	1	ola_mES_a2i_2_7.counts
ola_mES_a2i_2_70.counts	1.00523814256764	ola_mES_a2i_2_70.counts
ola_mES_a2i_2_71.counts	1.04060911859554	ola_mES_a2i_2_71.counts
ola_mES_a2i_2_72.counts	1.00383786129304	ola_mES_a2i_2_72.counts
ola_mES_a2i_2_73.counts	1.02444618654978	ola_mES_a2i_2_73.counts
ola_mES_a2i_2_74.counts	1.00079160202491	ola_mES_a2i_2_74.counts
ola_mES_a2i_2_75.counts	1.04824356366771	ola_mES_a2i_2_75.counts
ola_mES_a2i_2_76.counts	1.00509710606395	ola_mES_a2i_2_76.counts
ola_mES_a2i_2_77.counts	1.00339319631651	ola_mES_a2i_2_77.counts
ola_mES_a2i_2_78.counts	1.00419956350446	ola_mES_a2i_2_78.counts
ola_mES_a2i_2_8.counts	1.26127375177749	ola_mES_a2i_2_8.counts
ola_mES_a2i_2_80.counts	1.08724481848472	ola_mES_a2i_2_80.counts
ola_mES_a2i_2_81.counts	1.03319467526581	ola_mES_a2i_2_81.counts
ola_mES_a2i_2_82.counts	1.17303896985631	ola_mES_a2i_2_82.counts
ola_mES_a2i_2_83.counts	1.16879456376496	ola_mES_a2i_2_83.counts
ola_mES_a2i_2_84.counts	1.00302390529819	ola_mES_a2i_2_84.counts
ola_mES_a2i_2_86.counts	1.32390990820092	ola_mES_a2i_2_86.counts
ola_mES_a2i_2_87.counts	1.033334160836	ola_mES_a2i_2_87.counts
ola_mES_a2i_2_88.counts	1.02119979420965	ola_mES_a2i_2_88.counts
ola_mES_a2i_2_89.counts	1.00763185887241	ola_mES_a2i_2_89.counts
ola_mES_a2i_2_9.counts	1.02480261980312	ola_mES_a2i_2_9.counts
ola_mES_a2i_2_90.counts	1.08107264721482	ola_mES_a2i_2_90.counts
ola_mES_a2i_2_91.counts	1.00306815441404	ola_mES_a2i_2_91.counts
ola_mES_a2i_2_92.counts	1	ola_mES_a2i_2_92.counts
ola_mES_a2i_2_93.counts	1.00606748074718	ola_mES_a2i_2_93.counts
ola_mES_a2i_2_94.counts	1.03663612401654	ola_mES_a2i_2_94.counts
ola_mES_a2i_2_95.counts	1.00258301134808	ola_mES_a2i_2_95.counts
ola_mES_a2i_2_96.counts	1.00222582808458	ola_mES_a2i_2_96.counts
ola_mES_a2i_3_10.counts	1.07376475223297	ola_mES_a2i_3_10.counts
ola_mES_a2i_3_11.counts	1.28681932288275	ola_mES_a2i_3_11.counts
ola_mES_a2i_3_13.counts	1.18867078311078	ola_mES_a2i_3_13.counts
ola_mES_a2i_3_16.counts	1.03654690323917	ola_mES_a2i_3_16.counts
ola_mES_a2i_3_17.counts	1.10890944605377	ola_mES_a2i_3_17.counts
ola_mES_a2i_3_18.counts	1.06575461053242	ola_mES_a2i_3_18.counts
