	celltype	cell
ola_mES_2i_2_1.counts	1.09140489073813	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.00780122573615	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.01719690476482	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00572094210293	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.01143083099581	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.00174374532467	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.17298650553822	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.03277457432165	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.01719011816166	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.98779477494663	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00268904815196	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00434011175279	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.34081348832052	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.01047796662062	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.01681450746939	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.00928768089645	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.02168723016054	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.01865541068782	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.01686492304386	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.013762163589	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.00514551667554	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.00084220873823	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.02474129360346	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.13149429831888	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.0017512752922	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.01938874054238	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.08032663550009	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.00555317908703	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.00533660956604	ola_mES_2i_2_35.counts
