	celltype	cell
ola_mES_2i_2_1.counts	1.06096664263011	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.00965758266381	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.01062794388205	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00733458834809	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.02874640840008	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.00297043906484	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.22185095295803	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.05997619837776	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.04488207125087	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.58398968366475	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00589476067302	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00944815412934	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.22054038553415	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.01347040062153	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.04754807529294	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.02460488082196	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.04315005920104	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.04235066429454	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.03413913546456	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.02913560163241	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.0644423825316	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.00416477629914	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.04355885583423	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.13262037945959	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00140194279191	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.04675279716837	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.0760792268023	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.01581148761805	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.00568276942991	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.02847836743878	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.05110986237792	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.04069006300232	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.03290772276608	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.2047849870819	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.0717547313796	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.01942701637608	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.30344418790849	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.00571877820588	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.00582104335327	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.01304140661756	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.03409502591027	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.04634688345745	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.01087444709365	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.27925762075919	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.28559093133097	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.0134908326116	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.22168082768894	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.00830035029658	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.60396549238439	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.0499472239612	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.01042112021466	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.02020649211233	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.01812701659353	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.05171908971696	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.01013309027227	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.01001794759284	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.01381728159713	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.02248787992656	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.01862734749048	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.0360289162488	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.07288997832524	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.00164490880808	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.00954645239343	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.0111880657056	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.01932059798888	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.03191863842768	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.04557739214529	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.16740711340708	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1.06446475314856	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1.00887732992956	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.00673532469389	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.04263945752479	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1.0026791140165	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1.0197798211171	ola_mES_2i_2_81.counts
ola_mES_2i_2_85.counts	1.02218893025567	ola_mES_2i_2_85.counts
ola_mES_2i_2_86.counts	1.18389001449127	ola_mES_2i_2_86.counts
ola_mES_2i_2_87.counts	1.02599123124121	ola_mES_2i_2_87.counts
ola_mES_2i_2_90.counts	1.55727733283792	ola_mES_2i_2_90.counts
ola_mES_2i_2_91.counts	1.08416073729396	ola_mES_2i_2_91.counts
ola_mES_2i_2_93.counts	1.0319813497536	ola_mES_2i_2_93.counts
