	celltype	cell
ola_mES_2i_2_1.counts	1.67665509843452	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.3656266016621	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.3625357207321	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	2.1501972356149	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.82240117735531	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.95710210764278	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	2.68389094467822	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	2.2291561856602	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	2.66662473214715	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	2.21470794506964	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	2.08634134522749	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	2.33136909874801	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	2.20879828934218	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	2.38037795098671	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	2.48369488788852	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	2.30820283255264	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	2.57458242388839	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.86405549069924	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	2.23493415408192	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.35757132942376	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	2.35520431205868	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	2.76210136046393	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	2.60977565359124	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	2.937353004025	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	2.72978489593927	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	2.86432123827501	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	2.6550627133679	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	2.77503174712181	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	2.02087631284559	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	2.34493020416883	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.73355578878079	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	2.09012701777678	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	2.06785017529417	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	2.40848809212438	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.39014863622369	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.72342493900056	ola_mES_2i_2_41.counts
