	celltype	cell
ola_mES_2i_2_1.counts	1.06549485969016	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.00956416587618	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.01043813167612	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00736459891971	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.02700957659243	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.00310270532749	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.22140562468017	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.05975238519692	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.04577277696536	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.58815747883317	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00612215653264	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00909026805719	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.23070639445813	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.01467743062064	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.04713750035534	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.02590175207862	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.04413696643139	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.041627456298	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.03285086980916	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.02933681261619	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.0647380639871	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.0051089384266	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.04406890956013	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.13453119018811	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00138330724608	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.04782473467131	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.07590862920357	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.01568628910126	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.00591646847292	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.03077479537969	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.05106661801748	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.04108694364438	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.03307267334678	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.20703107141179	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.07175387756905	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.0193430464925	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.3069272339903	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.00601106520122	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.00572965894968	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.01281367730952	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.03364395529048	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.04527683910709	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.01022192503605	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.28168439136379	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.28706776989446	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.01369829003092	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.21962771787573	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.00913691202608	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.59620076380724	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.05383726078392	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.01002768860368	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.02231242495095	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.0186789379993	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.05317399470948	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.00972966509998	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.00954935330164	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.01458563614699	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.0233466476757	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.01897477446026	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.03487911041126	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.07278831057347	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.0015603654491	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.0098530448566	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.01079576258708	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.02070834293605	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.03255830499315	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.04486591159367	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.16743083743907	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1.06508127220204	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1.00962565684533	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.00684009298347	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.04212072921407	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1.00236470668652	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1.02037373669667	ola_mES_2i_2_81.counts
ola_mES_2i_2_85.counts	1.02352310663037	ola_mES_2i_2_85.counts
ola_mES_2i_2_86.counts	1.18653924401961	ola_mES_2i_2_86.counts
ola_mES_2i_2_87.counts	1.02497227855602	ola_mES_2i_2_87.counts
ola_mES_2i_2_90.counts	1.54997776098793	ola_mES_2i_2_90.counts
ola_mES_2i_2_91.counts	1.08452742689206	ola_mES_2i_2_91.counts
ola_mES_2i_2_93.counts	1.0318345110989	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.04919177612222	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.87570214012611	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.08495153163152	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.09730639430799	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.09435814328006	ola_mES_2i_3_12.counts
