	celltype	cell
ola_mES_2i_2_1.counts	1.06498269913381	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.01423063073069	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.01353042090168	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00660041454705	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.00979727846145	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.00216764177004	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.31202750780367	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.04453869835564	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.03291916760748	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.93532362527117	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00431233596917	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00979619017543	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.17460576872686	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.01277036392953	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.02764754516887	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.00768081315952	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.04110503847287	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.02608109435823	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.05534814592803	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.02116775408737	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.02006434898357	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.0027790612038	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.02822863107483	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.17100369915115	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00168249367498	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.02909709610499	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.09120431814468	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.01254387805139	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.00791834308202	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.01296155924423	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.02607242536032	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.01325960878469	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.03992489041584	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.36150677894791	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.11330497437025	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.01424986873654	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.37647308065933	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.00935216730881	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.00716973627804	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.01386467785797	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.04110826446549	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.0399234372246	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.00780098500576	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.37447589315032	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.31195401510629	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.01485710002445	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.36138238295935	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.0080112308689	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.88087875780839	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.04479759548066	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.01518280234023	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.02798202867601	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.0160089713785	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.05892527340619	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.017319382432	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.00438900786041	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.01843970332939	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.01806818113551	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.01135559804877	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.05624861157584	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.09117818038436	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.00073067620449	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.00619783196551	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.01092593926283	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.02407789233814	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.01833980763265	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.01686003466447	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.22735009625024	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1.04034441067189	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1.00417179370486	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.00928224074471	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.02588410513745	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1.00155247928575	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1.01128522272149	ola_mES_2i_2_81.counts
ola_mES_2i_2_85.counts	1.02246988855984	ola_mES_2i_2_85.counts
ola_mES_2i_2_86.counts	1.12184749992504	ola_mES_2i_2_86.counts
ola_mES_2i_2_87.counts	1.02908664563927	ola_mES_2i_2_87.counts
ola_mES_2i_2_90.counts	1.98719191526406	ola_mES_2i_2_90.counts
ola_mES_2i_2_91.counts	1.08505290168651	ola_mES_2i_2_91.counts
ola_mES_2i_2_93.counts	1.0232790354308	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.04728428969499	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.99710817557182	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.02914611542078	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.07007790174247	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.02602275309272	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.02341006831482	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.09619183329396	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.00268318339173	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.20508753571675	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.20975487881277	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.07103878785096	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.05281068086986	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.10809935479917	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.17611296495877	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.05501225467751	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.0628037253837	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.3218793272257	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.16502391085885	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.10205170566791	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.14393486806405	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.13001012415998	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.05646139685059	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.02696269020842	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.02818600620745	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.40144444587045	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.05910841468626	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.15034137493286	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.0422514694177	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.06900915943169	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.21765346047361	ola_mES_2i_3_45.counts
