	celltype	cell
ola_mES_2i_2_1.counts	1.05216319932091	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.00751943279141	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.00861398451741	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00417419256272	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.00944464825655	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.00125759101936	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.2357174903592	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.03241291347334	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.02508687109868	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.88306234613225	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00134078207259	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00473077804948	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.18574594596765	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.00667126789509	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.02163098251346	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.00611169040936	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.02889097887258	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.02115729994383	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.03240947138504	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.01706210054177	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.01082520030546	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.00162865657496	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.02137103244258	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.11607957383341	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00122444877931	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.02493598171618	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.07197958844671	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.00964851290059	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.00400267806652	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.00844224021193	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.02885857808959	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.01160940008608	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.02952743891917	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.2756096509563	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.07489922106447	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.01200199245581	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.28957222449229	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.00638543358033	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.00568096618645	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.00911503960946	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.02784075211062	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.02787875574238	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.00730686929321	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.23314894476152	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.25010051408576	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.00779700471375	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.26470071954946	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.00691621025755	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.83532285265849	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.03594291696662	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.00935307419245	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.01877876099799	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.01121194501117	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.04151399102228	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.01118188417599	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.00344070517491	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.01255644815948	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.01446857961261	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.00806075614627	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.03830701641756	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.06489186115294	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.00053707525121	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.00525526361979	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.00728535789633	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.0196204536957	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.01471690703134	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.01727235808225	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.19458284534554	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1.03450902420581	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1.00372504913301	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.0053815522027	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.02188228827364	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1.00130333588803	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1.00688892993361	ola_mES_2i_2_81.counts
ola_mES_2i_2_85.counts	1.01569586830972	ola_mES_2i_2_85.counts
ola_mES_2i_2_86.counts	1.07570693780461	ola_mES_2i_2_86.counts
ola_mES_2i_2_87.counts	1.01840674962175	ola_mES_2i_2_87.counts
ola_mES_2i_2_90.counts	1.93806827031078	ola_mES_2i_2_90.counts
ola_mES_2i_2_91.counts	1.06778981727132	ola_mES_2i_2_91.counts
