	celltype	cell
ola_mES_2i_2_1.counts	1.05829415027567	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.00843801487173	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.01137754364031	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00527190432535	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.02681486305103	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.00208201585092	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.17474905173876	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.04151272224019	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.05199761311901	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.61984705642908	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00473311895227	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00791786028799	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.21870118454526	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.01208797807152	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.03910994009545	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.01833625535543	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.03870905712679	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.0291314337365	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.03662486859255	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.02306310898423	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.05344323204245	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.00269563105356	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.03122895024361	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.13919080010535	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00126487641079	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.03543861965727	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.07778712323081	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.01393075745812	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.00578136206466	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.0190721870943	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.06231885259194	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.03142521413332	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.03754813574469	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.24193709531866	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.07701304852181	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.01770689682665	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.28781644547611	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.00554566669303	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.00795857280614	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.01577188695839	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.03361853389128	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.03762683932952	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.01855970936535	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.25922702506058	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.30191859484269	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.01248139406289	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.25659077988409	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.00745692838019	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.64632575624693	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.04195396596187	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.00946381112248	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.01737589058303	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.01811783275894	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.06144587031514	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.01218137984381	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.00879652179652	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.01545602702984	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.01820918625185	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.02148939775669	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.03613459528598	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.06732638340235	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.00283400867494	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.00805508505802	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.00967910988999	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.02042963474347	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.01862587607103	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.02302993397378	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.13098320743886	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1.04823621676391	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1.0073353124074	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.0102753046915	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.03162015758813	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1.00299235195148	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1.01300628168086	ola_mES_2i_2_81.counts
ola_mES_2i_2_85.counts	1.0201713681453	ola_mES_2i_2_85.counts
ola_mES_2i_2_86.counts	1.14600549599924	ola_mES_2i_2_86.counts
ola_mES_2i_2_87.counts	1.03382548907204	ola_mES_2i_2_87.counts
ola_mES_2i_2_90.counts	1.59898934347653	ola_mES_2i_2_90.counts
ola_mES_2i_2_91.counts	1.07517435176632	ola_mES_2i_2_91.counts
ola_mES_2i_2_93.counts	1.02568717156058	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.04302137543688	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.88300176536738	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.06254183594663	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.10689756183075	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.04881409577914	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.2559038290194	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.34180867149089	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.04596579160097	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.27737836169354	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.26905475740772	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.3136690181669	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.09329502022017	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.15808241190854	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.2058239130337	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.13674287983207	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.11422595323614	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.34945560594375	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.25846461894412	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.39678026491295	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.16839482569145	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.23046038511421	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.12825280241041	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.07159956297385	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.06130099373938	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.63317227345483	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.11756116612261	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.50996422086871	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.08554722511489	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.15353960606952	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.26733338751334	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.12445826029893	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.06708595246844	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.13332045917019	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.12997726794398	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.31025119549954	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.5185425746458	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.0665355226392	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.06397394641552	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.05005515123491	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.38134745865143	ola_mES_2i_3_6.counts
ola_mES_2i_3_62.counts	1.12728328510266	ola_mES_2i_3_62.counts
ola_mES_2i_3_65.counts	1.02333918227495	ola_mES_2i_3_65.counts
ola_mES_2i_3_66.counts	1.58737404841123	ola_mES_2i_3_66.counts
ola_mES_2i_3_69.counts	2.22004103835258	ola_mES_2i_3_69.counts
ola_mES_2i_3_7.counts	1.5218763304062	ola_mES_2i_3_7.counts
ola_mES_2i_3_73.counts	1.37144023231281	ola_mES_2i_3_73.counts
ola_mES_2i_3_76.counts	1.23589412107733	ola_mES_2i_3_76.counts
ola_mES_2i_3_77.counts	1.04646016810056	ola_mES_2i_3_77.counts
ola_mES_2i_3_78.counts	1.17850641522236	ola_mES_2i_3_78.counts
ola_mES_2i_3_79.counts	1.25423176321263	ola_mES_2i_3_79.counts
ola_mES_2i_3_8.counts	1.17931671327912	ola_mES_2i_3_8.counts
ola_mES_2i_3_80.counts	1.00978971860396	ola_mES_2i_3_80.counts
ola_mES_2i_3_82.counts	1.10964093673995	ola_mES_2i_3_82.counts
ola_mES_2i_3_83.counts	1.05894681058431	ola_mES_2i_3_83.counts
ola_mES_2i_3_84.counts	1.13790511528175	ola_mES_2i_3_84.counts
ola_mES_2i_3_87.counts	1.02018045590093	ola_mES_2i_3_87.counts
ola_mES_2i_3_88.counts	1.10245570984253	ola_mES_2i_3_88.counts
ola_mES_2i_3_90.counts	1.45351747784946	ola_mES_2i_3_90.counts
ola_mES_2i_3_91.counts	1.22614482168573	ola_mES_2i_3_91.counts
ola_mES_2i_3_92.counts	1.0241672601802	ola_mES_2i_3_92.counts
ola_mES_2i_3_96.counts	1.97404027282038	ola_mES_2i_3_96.counts
ola_mES_a2i_2_1.counts	1.054313090198	ola_mES_a2i_2_1.counts
ola_mES_a2i_2_10.counts	1.01385427298412	ola_mES_a2i_2_10.counts
ola_mES_a2i_2_11.counts	1.0036955003573	ola_mES_a2i_2_11.counts
ola_mES_a2i_2_12.counts	1.00317013576895	ola_mES_a2i_2_12.counts
ola_mES_a2i_2_13.counts	1.09535985048147	ola_mES_a2i_2_13.counts
ola_mES_a2i_2_14.counts	1.01306457943143	ola_mES_a2i_2_14.counts
ola_mES_a2i_2_15.counts	1.03531526625181	ola_mES_a2i_2_15.counts
ola_mES_a2i_2_16.counts	1.01067370347073	ola_mES_a2i_2_16.counts
ola_mES_a2i_2_17.counts	1.01786391239182	ola_mES_a2i_2_17.counts
ola_mES_a2i_2_18.counts	1.03696844995143	ola_mES_a2i_2_18.counts
ola_mES_a2i_2_19.counts	1.04097733420444	ola_mES_a2i_2_19.counts
ola_mES_a2i_2_2.counts	1.23469592467898	ola_mES_a2i_2_2.counts
ola_mES_a2i_2_20.counts	1.00503758535756	ola_mES_a2i_2_20.counts
ola_mES_a2i_2_21.counts	1.10538508480951	ola_mES_a2i_2_21.counts
ola_mES_a2i_2_22.counts	1.0183840444393	ola_mES_a2i_2_22.counts
