	celltype	cell
ola_mES_2i_2_1.counts	1.19654632257228	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.03752994027717	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.03418023744789	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00583240691636	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.0064920727524	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.0175061699599	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.31900642277425	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.05341870214467	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.01582912179463	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.83361825345274	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.01489311043667	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00928212043868	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.08191635322704	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.01141840307784	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.04070062389224	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.00760696048273	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.02615864384798	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.04021604685989	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.06066034163599	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.04554103425724	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.19453274617637	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.00389307553472	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.06387774167561	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.11317063311187	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00511410354627	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.04430780103891	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.07840341254975	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.0192005816903	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.03187154671031	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.02165092015532	ola_mES_2i_2_36.counts
