	celltype	cell
ola_mES_2i_2_1.counts	1.27112756502992	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.10442510671843	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.13344873696449	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.08266768965384	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.05490187620274	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.38153428849867	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.04115576077588	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.16474066486102	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.03252917225418	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.82540734493951	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.0327856419832	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.05601814929189	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.4110650747981	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.12349183527822	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.12402335255089	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.08531244816809	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.41927544361616	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.10833640353027	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.09597094217556	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.21841606645673	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.08971831919852	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.26596036414926	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.06399001312443	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.24829950418421	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.06892093267306	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.06173342932852	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.04433468984481	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.11740101208877	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.22854479345767	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.52029592604653	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.25661182594453	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.04443597576054	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.46700438214043	ola_mES_2i_2_39.counts
ola_mES_2i_2_4.counts	1.46760746760012	ola_mES_2i_2_4.counts
ola_mES_2i_2_40.counts	1.1896358630789	ola_mES_2i_2_40.counts
ola_mES_2i_2_41.counts	1.00986858924168	ola_mES_2i_2_41.counts
ola_mES_2i_2_42.counts	1.04724701758362	ola_mES_2i_2_42.counts
ola_mES_2i_2_43.counts	1.0884929684577	ola_mES_2i_2_43.counts
ola_mES_2i_2_44.counts	1.10423566398846	ola_mES_2i_2_44.counts
ola_mES_2i_2_46.counts	1.03277516847389	ola_mES_2i_2_46.counts
ola_mES_2i_2_47.counts	1.10354957648636	ola_mES_2i_2_47.counts
ola_mES_2i_2_48.counts	1.13905376892145	ola_mES_2i_2_48.counts
ola_mES_2i_2_49.counts	1.26946228062546	ola_mES_2i_2_49.counts
ola_mES_2i_2_5.counts	1.99980409872316	ola_mES_2i_2_5.counts
ola_mES_2i_2_50.counts	1.09692774059398	ola_mES_2i_2_50.counts
ola_mES_2i_2_51.counts	1.31556372077028	ola_mES_2i_2_51.counts
ola_mES_2i_2_52.counts	1.06553288817117	ola_mES_2i_2_52.counts
ola_mES_2i_2_53.counts	1.23242904811521	ola_mES_2i_2_53.counts
ola_mES_2i_2_54.counts	1.9572894194656	ola_mES_2i_2_54.counts
ola_mES_2i_2_55.counts	1.09452529807001	ola_mES_2i_2_55.counts
ola_mES_2i_2_56.counts	1.05263915985163	ola_mES_2i_2_56.counts
ola_mES_2i_2_57.counts	1.26177402423998	ola_mES_2i_2_57.counts
ola_mES_2i_2_58.counts	1.38270850394861	ola_mES_2i_2_58.counts
ola_mES_2i_2_59.counts	1.06781240254642	ola_mES_2i_2_59.counts
ola_mES_2i_2_6.counts	1.07584104912543	ola_mES_2i_2_6.counts
ola_mES_2i_2_60.counts	1.05329253984708	ola_mES_2i_2_60.counts
ola_mES_2i_2_61.counts	1.03696637450375	ola_mES_2i_2_61.counts
ola_mES_2i_2_62.counts	1.15278072668818	ola_mES_2i_2_62.counts
ola_mES_2i_2_63.counts	1.06146253442832	ola_mES_2i_2_63.counts
ola_mES_2i_2_64.counts	1.25549492247445	ola_mES_2i_2_64.counts
ola_mES_2i_2_66.counts	1.01682550781907	ola_mES_2i_2_66.counts
ola_mES_2i_2_67.counts	1.03707484266524	ola_mES_2i_2_67.counts
ola_mES_2i_2_68.counts	1.0237881902748	ola_mES_2i_2_68.counts
ola_mES_2i_2_69.counts	1.84913988732184	ola_mES_2i_2_69.counts
ola_mES_2i_2_7.counts	1.18078612915739	ola_mES_2i_2_7.counts
ola_mES_2i_2_72.counts	1.30725981467524	ola_mES_2i_2_72.counts
ola_mES_2i_2_73.counts	1.03136217930073	ola_mES_2i_2_73.counts
ola_mES_2i_2_74.counts	1.0789636306046	ola_mES_2i_2_74.counts
ola_mES_2i_2_75.counts	1.25414214652153	ola_mES_2i_2_75.counts
ola_mES_2i_2_76.counts	1.09519200937256	ola_mES_2i_2_76.counts
ola_mES_2i_2_79.counts	1.14697091130582	ola_mES_2i_2_79.counts
ola_mES_2i_2_8.counts	1.08255049079392	ola_mES_2i_2_8.counts
ola_mES_2i_2_80.counts	1.06906208041904	ola_mES_2i_2_80.counts
ola_mES_2i_2_81.counts	1.1843475371464	ola_mES_2i_2_81.counts
ola_mES_2i_2_85.counts	1.09179648427235	ola_mES_2i_2_85.counts
ola_mES_2i_2_86.counts	1.02090164737105	ola_mES_2i_2_86.counts
ola_mES_2i_2_87.counts	1.13981938917638	ola_mES_2i_2_87.counts
ola_mES_2i_2_90.counts	1.33750836931604	ola_mES_2i_2_90.counts
ola_mES_2i_2_91.counts	1.14774258941733	ola_mES_2i_2_91.counts
ola_mES_2i_2_93.counts	1.03015058979689	ola_mES_2i_2_93.counts
ola_mES_2i_2_94.counts	1.08619326142531	ola_mES_2i_2_94.counts
ola_mES_2i_2_95.counts	1.37605462334217	ola_mES_2i_2_95.counts
ola_mES_2i_3_10.counts	1.18368069689459	ola_mES_2i_3_10.counts
ola_mES_2i_3_11.counts	1.16365787072957	ola_mES_2i_3_11.counts
ola_mES_2i_3_12.counts	1.02258994042409	ola_mES_2i_3_12.counts
ola_mES_2i_3_13.counts	1.14318643758473	ola_mES_2i_3_13.counts
ola_mES_2i_3_15.counts	1.19551615855335	ola_mES_2i_3_15.counts
ola_mES_2i_3_16.counts	1.15804861572803	ola_mES_2i_3_16.counts
ola_mES_2i_3_17.counts	1.11434643165077	ola_mES_2i_3_17.counts
ola_mES_2i_3_18.counts	1.0934921218239	ola_mES_2i_3_18.counts
ola_mES_2i_3_19.counts	1.13729981453958	ola_mES_2i_3_19.counts
ola_mES_2i_3_2.counts	1.37313558378966	ola_mES_2i_3_2.counts
ola_mES_2i_3_20.counts	1.05609534136423	ola_mES_2i_3_20.counts
ola_mES_2i_3_21.counts	1.10860454543616	ola_mES_2i_3_21.counts
ola_mES_2i_3_23.counts	1.10067808026504	ola_mES_2i_3_23.counts
ola_mES_2i_3_25.counts	1.15543893171858	ola_mES_2i_3_25.counts
ola_mES_2i_3_26.counts	1.49734116760283	ola_mES_2i_3_26.counts
ola_mES_2i_3_28.counts	1.74868854863685	ola_mES_2i_3_28.counts
ola_mES_2i_3_30.counts	1.1504819977602	ola_mES_2i_3_30.counts
ola_mES_2i_3_31.counts	1.0260444290032	ola_mES_2i_3_31.counts
ola_mES_2i_3_33.counts	1.54582991326105	ola_mES_2i_3_33.counts
ola_mES_2i_3_36.counts	1.07956606736565	ola_mES_2i_3_36.counts
ola_mES_2i_3_37.counts	1.02951275125781	ola_mES_2i_3_37.counts
ola_mES_2i_3_38.counts	1.09742813936524	ola_mES_2i_3_38.counts
ola_mES_2i_3_39.counts	1.04426758246373	ola_mES_2i_3_39.counts
ola_mES_2i_3_4.counts	1.1280032242659	ola_mES_2i_3_4.counts
ola_mES_2i_3_41.counts	1.18531331549961	ola_mES_2i_3_41.counts
ola_mES_2i_3_42.counts	1.06681819577917	ola_mES_2i_3_42.counts
ola_mES_2i_3_43.counts	1.22199414206396	ola_mES_2i_3_43.counts
ola_mES_2i_3_45.counts	1.12167961385314	ola_mES_2i_3_45.counts
ola_mES_2i_3_46.counts	1.23934709274016	ola_mES_2i_3_46.counts
ola_mES_2i_3_47.counts	1.0925740495392	ola_mES_2i_3_47.counts
ola_mES_2i_3_49.counts	1.31863973613993	ola_mES_2i_3_49.counts
ola_mES_2i_3_5.counts	1.19633726660342	ola_mES_2i_3_5.counts
ola_mES_2i_3_52.counts	1.03704243480062	ola_mES_2i_3_52.counts
ola_mES_2i_3_54.counts	1.05252624973281	ola_mES_2i_3_54.counts
ola_mES_2i_3_56.counts	1.16356754748889	ola_mES_2i_3_56.counts
ola_mES_2i_3_57.counts	1.19222748104059	ola_mES_2i_3_57.counts
ola_mES_2i_3_58.counts	1.02399452664058	ola_mES_2i_3_58.counts
ola_mES_2i_3_6.counts	1.189262831508	ola_mES_2i_3_6.counts
ola_mES_2i_3_62.counts	1.03737214270172	ola_mES_2i_3_62.counts
ola_mES_2i_3_65.counts	1.06492881758921	ola_mES_2i_3_65.counts
ola_mES_2i_3_66.counts	2.043199097964	ola_mES_2i_3_66.counts
ola_mES_2i_3_69.counts	1.25527178798139	ola_mES_2i_3_69.counts
ola_mES_2i_3_7.counts	1.50515867767664	ola_mES_2i_3_7.counts
ola_mES_2i_3_73.counts	1.49810917527271	ola_mES_2i_3_73.counts
ola_mES_2i_3_76.counts	1.05430296559698	ola_mES_2i_3_76.counts
ola_mES_2i_3_77.counts	1.13616468946271	ola_mES_2i_3_77.counts
ola_mES_2i_3_78.counts	1.29290598092156	ola_mES_2i_3_78.counts
ola_mES_2i_3_79.counts	1.0710774313749	ola_mES_2i_3_79.counts
ola_mES_2i_3_8.counts	1.52762358147844	ola_mES_2i_3_8.counts
ola_mES_2i_3_80.counts	1.01500534079099	ola_mES_2i_3_80.counts
ola_mES_2i_3_82.counts	1.18098357615715	ola_mES_2i_3_82.counts
ola_mES_2i_3_83.counts	1.11939332500214	ola_mES_2i_3_83.counts
ola_mES_2i_3_84.counts	1.06956485850807	ola_mES_2i_3_84.counts
ola_mES_2i_3_87.counts	1.17327013453758	ola_mES_2i_3_87.counts
ola_mES_2i_3_88.counts	1.0535853909642	ola_mES_2i_3_88.counts
ola_mES_2i_3_90.counts	1.23505530040029	ola_mES_2i_3_90.counts
ola_mES_2i_3_91.counts	1.13558545950665	ola_mES_2i_3_91.counts
ola_mES_2i_3_92.counts	1.33095102565519	ola_mES_2i_3_92.counts
ola_mES_2i_3_96.counts	1.16067923613565	ola_mES_2i_3_96.counts
ola_mES_a2i_2_1.counts	1.12105579514645	ola_mES_a2i_2_1.counts
ola_mES_a2i_2_10.counts	1.09839275399447	ola_mES_a2i_2_10.counts
ola_mES_a2i_2_11.counts	1.06952407969259	ola_mES_a2i_2_11.counts
ola_mES_a2i_2_12.counts	1.03937779790754	ola_mES_a2i_2_12.counts
ola_mES_a2i_2_13.counts	1.17179563194899	ola_mES_a2i_2_13.counts
ola_mES_a2i_2_14.counts	1.01430032399827	ola_mES_a2i_2_14.counts
ola_mES_a2i_2_15.counts	1.03344748292444	ola_mES_a2i_2_15.counts
ola_mES_a2i_2_16.counts	1.01764613546942	ola_mES_a2i_2_16.counts
ola_mES_a2i_2_17.counts	1.04111555073194	ola_mES_a2i_2_17.counts
ola_mES_a2i_2_18.counts	1.51580905894298	ola_mES_a2i_2_18.counts
ola_mES_a2i_2_19.counts	1.06786834945449	ola_mES_a2i_2_19.counts
ola_mES_a2i_2_2.counts	1.04061784071186	ola_mES_a2i_2_2.counts
ola_mES_a2i_2_20.counts	1.03061380970674	ola_mES_a2i_2_20.counts
