	celltype	cell
ola_mES_2i_2_1.counts	1.39506450839547	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.1314352143214	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.23059133049885	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.20736929720287	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.05875781405492	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.10164470381437	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.82750040347431	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.19453924727366	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.4168055126849	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.56168960455039	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.07231474424365	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.21540211852739	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.46854965667366	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.22822405819703	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.13881557223708	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.08166802893257	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.13929526545926	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.10638678222583	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.38609016181689	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.16499320181282	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.07868023242985	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.10907152506797	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.18948680496865	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.48740451967737	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.04735528372044	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.08042919058	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.12333885838397	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.11759061020783	ola_mES_2i_2_34.counts
