	celltype	cell
ola_mES_2i_2_1.counts	1.03165249782626	ola_mES_2i_2_1.counts
ola_mES_2i_2_10.counts	1.00270311179334	ola_mES_2i_2_10.counts
ola_mES_2i_2_11.counts	1.00524120619887	ola_mES_2i_2_11.counts
ola_mES_2i_2_12.counts	1.00576206329827	ola_mES_2i_2_12.counts
ola_mES_2i_2_13.counts	1.02344807631192	ola_mES_2i_2_13.counts
ola_mES_2i_2_14.counts	1.00239036826627	ola_mES_2i_2_14.counts
ola_mES_2i_2_15.counts	1.15041634580989	ola_mES_2i_2_15.counts
ola_mES_2i_2_16.counts	1.03094324026677	ola_mES_2i_2_16.counts
ola_mES_2i_2_17.counts	1.02335627144494	ola_mES_2i_2_17.counts
ola_mES_2i_2_18.counts	1.44264091035041	ola_mES_2i_2_18.counts
ola_mES_2i_2_19.counts	1.00573158261077	ola_mES_2i_2_19.counts
ola_mES_2i_2_2.counts	1.00321535294485	ola_mES_2i_2_2.counts
ola_mES_2i_2_20.counts	1.14242597414193	ola_mES_2i_2_20.counts
ola_mES_2i_2_21.counts	1.00403391891848	ola_mES_2i_2_21.counts
ola_mES_2i_2_22.counts	1.02247216870747	ola_mES_2i_2_22.counts
ola_mES_2i_2_23.counts	1.02041992988024	ola_mES_2i_2_23.counts
ola_mES_2i_2_24.counts	1.02894010679638	ola_mES_2i_2_24.counts
ola_mES_2i_2_25.counts	1.020007488792	ola_mES_2i_2_25.counts
ola_mES_2i_2_26.counts	1.02308234960332	ola_mES_2i_2_26.counts
ola_mES_2i_2_27.counts	1.01653866070516	ola_mES_2i_2_27.counts
ola_mES_2i_2_28.counts	1.05150051914431	ola_mES_2i_2_28.counts
ola_mES_2i_2_29.counts	1.0005949408176	ola_mES_2i_2_29.counts
ola_mES_2i_2_3.counts	1.02087293989245	ola_mES_2i_2_3.counts
ola_mES_2i_2_30.counts	1.09659939049413	ola_mES_2i_2_30.counts
ola_mES_2i_2_31.counts	1.00058241280029	ola_mES_2i_2_31.counts
ola_mES_2i_2_32.counts	1.02535101026494	ola_mES_2i_2_32.counts
ola_mES_2i_2_33.counts	1.05070026017702	ola_mES_2i_2_33.counts
ola_mES_2i_2_34.counts	1.01076517546502	ola_mES_2i_2_34.counts
ola_mES_2i_2_35.counts	1.00297427061788	ola_mES_2i_2_35.counts
ola_mES_2i_2_36.counts	1.01561839245592	ola_mES_2i_2_36.counts
ola_mES_2i_2_37.counts	1.02863326344145	ola_mES_2i_2_37.counts
ola_mES_2i_2_38.counts	1.04178717792684	ola_mES_2i_2_38.counts
ola_mES_2i_2_39.counts	1.01116721814669	ola_mES_2i_2_39.counts
