methods_use,iLISI_median,iLISI_median_norm,iLISI_median_norm2,cLISI_median,cLISI_median_norm,cLISI_median_norm_sub,cLISI_median_norm_sub2,sum_normXY,fscore
harmony,1.31682825704224,0.316828238157804,0.358726838226205,1.31682825704224,0.316828238157804,0.683171761842196,0.641273161773795,1,0.46008378752487
bbknn,1.28447733158916,0.284477314632989,0.319893009037133,1.28447733158916,0.284477314632989,0.715522685367011,0.680106990962867,1,0.435122943612604
limma,1.2647027990632,0.264702783285683,0.296155795722459,1.2647027990632,0.264702783285683,0.735297216714317,0.703844204277541,1,0.416895080764912
combat,1.68097304312082,0.680973002531662,0.795843743681543,1.68097304312082,0.680973002531662,0.319026997468338,0.204156256318457,1,0.324952958648979
scAEQN,1.70279843586017,0.702798393970118,0.82204279554031,1.70279843586017,0.702798393970118,0.297201606029882,0.17795720445969,1,0.292576875681165
mnn,1.12131622948617,0.121316222255159,0.124035540336343,1.12131622948617,0.121316222255159,0.878683777744841,0.875964459663657,1,0.217301450139629
quantnorm,1.08844099680354,0.0884409915320457,0.0845723363423843,1.08844099680354,0.0884409915320457,0.911559008467954,0.915427663657616,1,0.15483971253595
raw,1.0214293514156,0.0214293501383112,0.004132016499041,1.0214293514156,0.0214293501383112,0.978570649861689,0.995867983500959,1,0.00822988587738531
scvi,1.02091418925669,0.0209141880101071,0.00351361937427237,1.02091418925669,0.0209141880101071,0.979085811989893,0.996486380625728,1,0.00700254770633022
scanorama,1.85104753659356,0.851047485867172,1,1.85104753659356,0.851047485867172,0.148952514132828,0,1,0
scbatch,1.01798713207945,0.0179871310073334,0,1.01798713207945,0.0179871310073334,0.982012868992667,1,1,0
