"raw","mnn","limma","harmony","combat","quantnorm","scbatch","scvi","scAEQN","scanorama","bbknn"
1,1.00697227991842,1.03177012845023,1.04524985260567,1.38816961238609,1.00024430458918,1.0000001192093,1,1.06405722938408,1.27066677166428,1.0456406238907
1,1.00498456238657,1.03167079032092,1.04034636975895,1.29931829480542,1.0014356910763,1,1,1.03299116280428,1.35928318260976,1.04979469887448
1,1.00709359059391,1.03639628327722,1.04083363020804,1.16114575890702,1.00475605019544,1,1,1.04378709610696,1.28209479227339,1.01223721957205
1,1.00130715796203,1.04003519844923,1.04405067469558,1.52089671194854,1.00555918911542,1,1,1.05472998321924,1.78295823602694,1.10456732197584
1,1.00257236031592,1.06666439056882,1.07788294775165,1.42356652130211,1.01981541756765,1.0000001192093,1.0000001192093,1.2692753837307,1.6589024097121,1.165514223388
1,1.00196734696072,1.03861081230025,1.04698901840746,1.85662942878007,1.01625737063105,1,1,1.15817592567614,1.39254783804949,1.03797966519862
1.00479483027942,1.07337159023087,1.48537845808422,1.55442231543381,1.85963649545889,1.14439726718346,1.0013569079234,1.0048700563276,1.94079129983278,1.99996149614076,1.10284187993019
1,1.03732661315463,1.18084564913173,1.18352057307791,1.25289101362361,1.0106654284807,1,1,1.11574703229364,1.87247976517127,1.07128947380029
1,1.00151794841167,1.0704726220218,1.08095169560257,1.67030889439982,1.01944946881869,1,1,1.25691538630994,1.99900563350234,1.0984073311538
1.0807529893554,1.26950016192206,1.84750205015358,1.8960093991221,1.88781512995089,1.10136089398863,1.04125843758043,1.0798351911756,1.29397311935992,1.8830913020109,1.17016620544521
1,1.00419218631965,1.08511351084701,1.12784129116662,1.47652087992849,1.03943547658554,1.00008309405203,1,1.10826009836996,1.82393765316267,1.26717357095314
1,1.00142380433435,1.04771046933297,1.06011697699326,1.76026885801248,1.00454333795409,1,1,1.06952352508827,1.52606213624868,1.03352707135808
1,1.00192980587495,1.04639533262808,1.07480708384122,1.29581066694313,1.00996464956337,1,1,1.05989565878915,1.89596943863635,1.05277563019651
1,1.00441888656488,1.05606361076142,1.06422662641246,1.23807206805104,1.0491042338427,1,1,1.22319963740567,1.94474145730107,1.11031356566945
1.00030918135741,1.05065184487703,1.203079883303,1.21671822023646,1.28604203391556,1.00966852808891,1,1,1.12888580427803,1.97703565426597,1.01274290595076
1.00023178315366,1.0120514474298,1.08792066671529,1.10122618076811,1.85698366070223,1.10303882756543,1,1.00023917673466,1.08920551804091,1.88308062838996,1.07812356817095
1,1.00254956383599,1.04912822814755,1.05712444599462,1.46500908412149,1.00479230901027,1,1,1.1048394204204,1.98864877488598,1.37941596936931
1,1.04272709918423,1.10144811779511,1.10264505385018,1.2705977582284,1.0096942887129,1,1,1.17672917621111,1.65810163569146,1.06897825406128
1.00044736367647,1.01494356755373,1.08394864198045,1.1102542213789,1.96280952613127,1.03055153862422,1,1.00043102125792,1.25813184875512,1.94422345383889,1.11476195023866
1,1.02568450928228,1.05389594612723,1.05754236291918,1.30628558142201,1.00443460707293,1,1,1.10764069734889,1.92635432234898,1.05143630212135
1.01111582902938,1.13475527588641,1.73635478497,1.87659523431818,1.55373566885528,1.32570779661513,1.02805388694042,1.01123049024114,1.53618944230727,1.88793632435222,1.99445970075584
1.0000001192093,1.00127670061507,1.03245222535661,1.03263814029175,1.44274540674199,1.01098579680038,1,1,1.09466638703993,1.97526348992259,1.08917086779922
1.0000001192093,1.06375269204211,1.08658546329291,1.08977236472358,1.25790073581878,1.00714202403463,1,1,1.07974625513368,1.95888318941822,1.04638239043558
1,1.01502718375223,1.11628062696917,1.15791583600154,1.19601178299174,1.02387850812942,1,1,1.02980609653353,1.89591769605967,1.01627568815539
1.0000195506102,1.00168333014393,1.03864076191461,1.04832269646908,1.46682085121464,1.00792413286377,1,1.00001907375912,1.08809960017191,1.87598885938394,1.04038530862527
1,1.03326225705612,1.08313772464182,1.08608106370688,1.54826407065459,1.01080926916128,1.0000001192093,1,1.0966420860842,1.99998474132735,1.07329108668766
1.00179938472579,1.02989826275362,1.15308328659749,1.18932673413889,1.1526239622039,1.06262924681895,1.00152332504685,1.00180775211279,1.0242529357679,1.81192088626922,1.05434455678678
1,1.00109518025725,1.02608047518082,1.02749777222911,1.40224544699941,1.00419728434859,1,1,1.06206552900924,1.99918684655184,1.02527373730519
1,1.00168249377,1.02353347536688,1.03170644205669,1.46319961778686,1.00325063042123,1,1.0000001192093,1.1198676217219,1.67763509694031,1.02928865140827
1,1.01523925445337,1.21137509995669,1.25377795102186,1.35262253896753,1.07169816673001,1,1,1.69470247644643,1.93432321090521,1.18982338300637
1,1.00587930687582,1.06829197508724,1.06738169740044,1.51789569320793,1.10280447900083,1,1.0000001192093,1.14134569733302,1.4227855209289,1.44435541632173
1,1.01230975889284,1.10480633687724,1.1346330689417,1.76414246273804,1.29160863525623,1,1,1.22129061319545,1.76269858881783,1.11551516515742
1.0000001192093,1.00064917202332,1.03365353385457,1.03964894569262,1.39135670994194,1.00184038526341,1,1,1.08486151416625,1.80412507505722,1.04215051278472
1.01807620163743,1.13701870337314,1.43267315429597,1.51906833696992,1.7472714791363,1.10975574075945,1.0055676032411,1.02037600814878,1.09768462925525,1.94390734481514,1.3832258523558
1.0010232425094,1.02165301297205,1.16089686548421,1.2281432897485,1.50222102358878,1.1025325395563,1.0000001192093,1.00103625640541,1.24459560193251,1.35862597446521,1.0517505592992
1,1.00341913686498,1.03673899837942,1.03811733110975,1.16966317763733,1.00787751248038,1,1,1.1659142107613,1.53258392874595,1.04010293129264
1.0063593776523,1.05678696094362,1.48046499057699,1.62000757464732,1.99706877359451,1.08793968797009,1.00058396387999,1.00674303143886,1.08963858847198,1.91510215021298,1.05721555883597
1,1.00128780857729,1.01200102193794,1.01536211369319,1.22651190009116,1.00630853327266,1,1,1.01864676929382,1.90240618627267,1.04836277392796
1,1.00220029270794,1.02007312151591,1.02340722986019,1.1424360908684,1.03458814050866,1,1,1.02881150666657,1.9878269824874,1.17457877394708
1,1.0003830698479,1.01670397295022,1.02241185293962,1.37751032690312,1.00593060015095,1,1.0000001192093,1.06123612478008,1.5809375702722,1.01598644866028
1.00060609693361,1.01737772483837,1.08114269523395,1.10720145501537,1.16689219291808,1.07425818539918,1,1.00059953451605,1.28287690139247,1.86287466941118,1.04871112038548
1.00399260407136,1.02992080580692,1.16693213066865,1.20978187577669,1.21678478083166,1.13621034795092,1.00155594436497,1.0046706328382,1.29401764417429,1.39160547841489,1.11383916370659
1,1.00049257585257,1.01240416186577,1.01266060407376,1.65219093372513,1.00865908636269,1,1,1.09728142101984,1.87764161311478,1.13703196646043
1.0037115032948,1.05281081132521,1.75733028755684,1.94179740625178,1.3864216444287,1.10863883411045,1,1.00387640855378,1.99826058164035,1.78466421204478,1.94597097447154
1.00574474869094,1.05824088343741,1.24790703506088,1.29225185641892,1.86889008662763,1.09825215599906,1.00275727511706,1.00738502855626,1.51069248920774,1.90660754823677,1.86968943907643
1,1.00229394800223,1.04357377433661,1.05228897828138,1.27835582104842,1.04905636940412,1,1,1.21532251173331,1.97318725090699,1.03033153006281
1.008135623642,1.06677085741732,1.29270415096212,1.42696259570782,1.4183952973873,1.0631411382601,1.00256284676883,1.00808162891506,1.3802842007206,1.98907039039435,1.23304439398876
1.0000001192093,1.00061898340761,1.01130922549338,1.01319948969662,1.45070366695932,1.00247017069938,1,1,1.05528960127358,1.90867070794452,1.03834080009662
1.14177310601179,1.303284928123,1.80452566348633,1.87840104527188,1.78607269540059,1.10535521215243,1.04186895044459,1.13913584578423,1.51112157923097,1.87699418975018,1.48376138174904
1,1.02230595613959,1.04664807781807,1.05096665271666,1.26246308669448,1.00270706169455,1,1,1.08246318018475,1.86990042966921,1.01716877961483
1,1.00375124228226,1.05838780827196,1.05528431207154,1.59900966944258,1.07610226642756,1,1,1.34870681815169,1.90629699956669,1.43946216441783
